name,county,date,new_cases,week
Runnymede Elementary,Carroll,2021-02-10,5,57
St. Louis School,Howard,2021-02-10,3,57
St. Raphael School,Montgomery,2021-02-10,9,57
Talmudical Academy of Baltimore,Baltimore,2021-02-10,72,57
The Country School,Talbot,2021-02-10,7,57
The Primary Day School,Montgomery,2021-02-10,6,57
Bais Yaakov Eva Winer High School,Baltimore,2021-02-10,49,57
Bethel Christian Academy,Howard,2021-02-10,2,57
Calvert Hall College High School,Baltimore,2021-02-10,7,57
Carroll Springs Elementary,Carroll,2021-02-10,2,57
Charles E Smith Jewish Day School - Upper School,Montgomery,2021-02-10,3,57
Cheder Chabad School,Baltimore City,2021-02-10,2,57
DeMatha Catholic High School,Prince George's,2021-02-10,5,57
Kings Christian Academy,St. Mary's,2021-02-10,7,57
McDonogh School,Baltimore,2021-02-10,4,57
Resurrection St. Paul School,Howard,2021-02-10,15,57
Runnymede Elementary,Carroll,2021-02-10,5,57
St. Louis School,Howard,2021-02-10,3,57
St. Raphael School,Montgomery,2021-02-10,9,57
Talmudical Academy of Baltimore,Baltimore,2021-02-10,72,57
The Country School,Talbot,2021-02-10,7,57
The Primary Day School,Montgomery,2021-02-10,6,57
Bais Yaakov Eva Winer High School,Baltimore,2021-02-17,51,58
Bethel Christian Academy,Howard,2021-02-17,3,58
Calvary Baptist Church Academy,Anne Arundel,2021-02-17,7,58
Carroll Springs Elementary,Carroll,2021-02-17,2,58
Catoctin Highschool,Frederick,2021-02-17,2,58
Charles E Smith Jewish Day School - Upper School,Montgomery,2021-02-17,3,58
Cheder Chabad School,Baltimore City,2021-02-17,2,58
DeMatha Catholic High School,Prince George's,2021-02-17,6,58
McDonogh School,Baltimore,2021-02-17,4,58
Resurrection St. Paul School,Howard,2021-02-17,15,58
Runnymede Elementary,Carroll,2021-02-17,5,58
St. Martin's in the Field Episcopal School,Anne Arundel,2021-02-17,2,58
St. Paul's School,Baltimore,2021-02-17,4,58
Talmudical Academy of Baltimore - High School,Baltimore,2021-02-17,3,58
Talmudical Academy of Baltimore - Elementary,Baltimore,2021-02-17,32,58
The Country School,Talbot,2021-02-17,4,58
The Primary Day School,Montgomery,2021-02-17,8,58
Bais Yaakov Eva Winer High School,Baltimore,2021-02-17,51,58
Bethel Christian Academy,Howard,2021-02-17,3,58
Calvary Baptist Church Academy,Anne Arundel,2021-02-17,7,58
Carroll Springs Elementary,Carroll,2021-02-17,2,58
Catoctin Highschool,Frederick,2021-02-17,2,58
Charles E Smith Jewish Day School - Upper School,Montgomery,2021-02-17,3,58
Cheder Chabad School,Baltimore City,2021-02-17,2,58
DeMatha Catholic High School,Prince George's,2021-02-17,6,58
McDonogh School,Baltimore,2021-02-17,4,58
Resurrection St. Paul School,Howard,2021-02-17,15,58
Runnymede Elementary,Carroll,2021-02-17,5,58
St. Martin's in the Field Episcopal School,Anne Arundel,2021-02-17,2,58
St. Paul's School,Baltimore,2021-02-17,4,58
Talmudical Academy of Baltimore - High School,Baltimore,2021-02-17,3,58
Talmudical Academy of Baltimore - Elementary,Baltimore,2021-02-17,32,58
The Country School,Talbot,2021-02-17,4,58
The Primary Day School,Montgomery,2021-02-17,8,58
Bais Yaakov Eva Winer High School,Baltimore,2021-02-24,51,59
Bethel Christian Academy,Howard,2021-02-24,3,59
Calvary Baptist Church Academy,Anne Arundel,2021-02-24,8,59
Catoctin Highschool,Frederick,2021-02-24,2,59
Cheder Chabad School,Baltimore City,2021-02-24,2,59
DeMatha Catholic High School,Prince George's,2021-02-24,6,59
Friends School of Baltimore,Baltimore City,2021-02-24,2,59
Mount Saint Joseph High School,Baltimore City,2021-02-24,2,59
Oklahoma Rd Middle School,Carroll,2021-02-24,2,59
Rosedale Baptist School,Baltimore,2021-02-24,2,59
South Carroll High School,Carroll,2021-02-24,4,59
Spring Ridge Middle School,St. Mary's,2021-02-24,2,59
St. Martin's in the Field Episcopal School,Anne Arundel,2021-02-24,2,59
St. Paul's School ,Baltimore,2021-02-24,4,59
The Country School,Talbot,2021-02-24,5,59
The Primary Day School,Montgomery,2021-02-24,8,59
Torah School of Greater Washington,Montgomery,2021-02-24,2,59
Bais Yaakov Eva Winer High School,Baltimore,2021-02-24,51,59
Bethel Christian Academy,Howard,2021-02-24,3,59
Calvary Baptist Church Academy,Anne Arundel,2021-02-24,8,59
Catoctin Highschool,Frederick,2021-02-24,2,59
DeMatha Catholic High School,Prince George's,2021-02-24,6,59
Friends School of Baltimore,Baltimore City,2021-02-24,2,59
Mount Saint Joseph High School,Baltimore City,2021-02-24,2,59
Oklahoma Rd Middle School,Carroll,2021-02-24,2,59
Rosedale Baptist School,Baltimore,2021-02-24,2,59
South Carroll High School,Carroll,2021-02-24,4,59
Spring Ridge Middle School,St. Mary's,2021-02-24,2,59
St. Martin's in the Field Episcopal School,Anne Arundel,2021-02-24,2,59
St. Paul's School ,Baltimore,2021-02-24,4,59
The Country School,Talbot,2021-02-24,5,59
The Primary Day School,Montgomery,2021-02-24,8,59
Torah School of Greater Washington,Montgomery,2021-02-24,2,59
Arundel Christian School,Anne Arundel,2021-03-03,3,60
Bethel Christian Academy,Howard,2021-03-03,5,60
Calvary Baptist Church Academy,Anne Arundel,2021-03-03,8,60
Calvert Hall College High School,Baltimore,2021-03-03,3,60
Friends School of Baltimore,Baltimore City,2021-03-03,2,60
Mechanicsville Elementary,Carroll,2021-03-03,2,60
Mt. Aetna Adventist School,Washington,2021-03-03,2,60
Mount Saint Joseph High School,Baltimore City,2021-03-03,4,60
Odenton Christian School,Anne Arundel,2021-03-03,2,60
Redeemer Classical Christian School,Baltimore,2021-03-03,3,60
Rosedale Baptist School,Baltimore,2021-03-03,2,60
South Carroll High,Carroll,2021-03-03,4,60
Spring Ridge Middle,St. Mary's,2021-03-03,2,60
St. John's Catholic Preparatory School,Frederick,2021-03-03,7,60
St. Martin's in the Field Episcopal School,Anne Arundel,2021-03-03,2,60
St. Thomas More Academy,Frederick,2021-03-03,6,60
The Country School,Talbot,2021-03-03,7,60
Torah School of Greater Washington,Montgomery,2021-03-03,2,60
Arundel Christian School,Anne Arundel,2021-03-03,3,60
Bethel Christian Academy,Howard,2021-03-03,5,60
Calvary Baptist Church Academy,Anne Arundel,2021-03-03,8,60
Calvert Hall College High School,Baltimore,2021-03-03,3,60
Friends School of Baltimore,Baltimore City,2021-03-03,2,60
Mechanicsville Elementary,Carroll,2021-03-03,2,60
Mt. Aetna Adventist School,Washington,2021-03-03,2,60
Mount Saint Joseph High School,Baltimore City,2021-03-03,4,60
Odenton Christian School,Anne Arundel,2021-03-03,2,60
Redeemer Classical Christian School,Baltimore,2021-03-03,3,60
Rosedale Baptist School,Baltimore,2021-03-03,2,60
South Carroll High,Carroll,2021-03-03,4,60
Spring Ridge Middle,St. Mary's,2021-03-03,2,60
St. John's Catholic Preparatory School,Frederick,2021-03-03,7,60
St. Martin's in the Field Episcopal School,Anne Arundel,2021-03-03,2,60
St. Thomas More Academy,Frederick,2021-03-03,6,60
The Country School,Talbot,2021-03-03,7,60
Torah School of Greater Washington,Montgomery,2021-03-03,2,60
Arundel Christian School,Anne Arundel,2021-03-10,3,61
Boonsboro High School,Washington,2021-03-10,4,61
The Bryn Mawr School ,Baltimore City,2021-03-10,2,61
Friendship Valley Elementary,Carroll,2021-03-10,2,61
Garrison Forest School,Baltimore,2021-03-10,2,61
Leith Walk Elementary/Middle School,Baltimore City,2021-03-10,2,61
Mechanicsville Elementary,Carroll,2021-03-10,5,61
Mt. Aetna Adventist School,Washington,2021-03-10,4,61
Mount Saint Joseph High School,Baltimore City,2021-03-10,4,61
Ner Israel Rabbinical College,Baltimore,2021-03-10,4,61
Odenton Christian School,Anne Arundel,2021-03-10,2,61
Redeemer Classical Christian School,Baltimore,2021-03-10,4,61
Rosedale Baptist School,Baltimore,2021-03-10,5,61
St. John's Catholic Preparatory School,Frederick,2021-03-10,10,61
St. Maria Goretti High School,Washington,2021-03-10,4,61
St. Michael - St. Clement School,Baltimore,2021-03-10,3,61
St. Thomas More Academy,Frederick,2021-03-10,10,61
St. Ursula School,Baltimore,2021-03-10,2,61
The Country School,Talbot,2021-03-10,7,61
West Frederick Middle School,Frederick,2021-03-10,2,61
Westminster High School,Carroll,2021-03-10,7,61
White Marsh Elementary School,St. Mary's,2021-03-10,2,61
Winters Mill High School,Carroll,2021-03-10,2,61
Yeshiva of Greater Washington,Montgomery,2021-03-10,4,61
Arundel Christian School,Anne Arundel,2021-03-10,3,61
Boonsboro High School,Washington,2021-03-10,4,61
The Bryn Mawr School ,Baltimore City,2021-03-10,2,61
Friendship Valley Elementary,Carroll,2021-03-10,2,61
Garrison Forest School,Baltimore,2021-03-10,2,61
Leith Walk Elementary/Middle School,Baltimore City,2021-03-10,2,61
Mechanicsville Elementary,Carroll,2021-03-10,5,61
Mt. Aetna Adventist School,Washington,2021-03-10,4,61
Mount Saint Joseph High School,Baltimore City,2021-03-10,4,61
Ner Israel Rabbinical College,Baltimore,2021-03-10,4,61
Odenton Christian School,Anne Arundel,2021-03-10,2,61
Redeemer Classical Christian School,Baltimore,2021-03-10,4,61
Rosedale Baptist School,Baltimore,2021-03-10,5,61
St. John's Catholic Preparatory School,Frederick,2021-03-10,10,61
St. Maria Goretti High School,Washington,2021-03-10,4,61
St. Michael - St. Clement School,Baltimore,2021-03-10,3,61
St. Thomas More Academy,Frederick,2021-03-10,10,61
St. Ursula School,Baltimore,2021-03-10,2,61
The Country School,Talbot,2021-03-10,7,61
West Frederick Middle School,Frederick,2021-03-10,2,61
Westminster High School,Carroll,2021-03-10,7,61
White Marsh Elementary School,St. Mary's,2021-03-10,2,61
Winters Mill High School,Carroll,2021-03-10,2,61
Yeshiva of Greater Washington,Montgomery,2021-03-10,4,61
Bais Yaakov Eva Winer High School,Baltimore,2021-03-17,5,62
Boonsboro High School,Washington,2021-03-17,7,62
The Bryn Mawr School ,Baltimore City,2021-03-17,2,62
Bullis School,Montgomery,2021-03-17,4,62
Clear Spring High School,Washington,2021-03-17,3,62
Francis Scott Key Elementary School,Baltimore City,2021-03-17,3,62
Hammond High School,Howard,2021-03-17,2,62
The John Carroll School,Harford,2021-03-17,3,62
KIPP Harmony Academy,Baltimore City,2021-03-17,2,62
Leith Walk Elementary/Middle School,Baltimore City,2021-03-17,2,62
Lincolnshire Elementary,Washington,2021-03-17,3,62
Manchester Valley High School,Carroll,2021-03-17,3,62
Mechanicsville Elementary,Carroll,2021-03-17,5,62
Mt. Aetna Adventist School,Washington,2021-03-17,4,62
Mount Saint Joseph High School,Baltimore City,2021-03-17,9,62
Ner Israel Rabbinical College,Baltimore,2021-03-17,4,62
Rosedale Baptist School,Baltimore,2021-03-17,5,62
Sabillasville Elementary School,Frederick,2021-03-17,2,62
Sparrows Point High School,Baltimore,2021-03-17,6,62
St. John Regional Catholic School,Frederick,2021-03-17,2,62
Saint John's Catholic Preparatory School,Frederick,2021-03-17,10,62
St. Maria Goretti High School,Washington,2021-03-17,4,62
St. Michael- St. Clement School,Baltimore,2021-03-17,3,62
St. Thomas More Academy,Frederick,2021-03-17,15,62
St. Ursula School,Baltimore,2021-03-17,2,62
Stepping Stones Learning Academy,Wicomico,2021-03-17,6,62
The Country School,Talbot,2021-03-17,8,62
Walt Whitman High School,Montgomery,2021-03-17,4,62
Westminster High School,Carroll,2021-03-17,7,62
White Marsh Elementary School,St. Mary's,2021-03-17,2,62
Winston Churchill High School,Montgomery,2021-03-17,2,62
Winter's Mill High School,Carroll,2021-03-17,2,62
Bais Yaakov Eva Winer High School,Baltimore,2021-03-17,5,62
Boonsboro High School,Washington,2021-03-17,7,62
The Bryn Mawr School ,Baltimore City,2021-03-17,2,62
Bullis School,Montgomery,2021-03-17,4,62
Clear Spring High School,Washington,2021-03-17,3,62
Francis Scott Key Elementary School,Baltimore City,2021-03-17,3,62
Hammond High School,Howard,2021-03-17,2,62
The John Carroll School,Harford,2021-03-17,3,62
KIPP Harmony Academy,Baltimore City,2021-03-17,2,62
Leith Walk Elementary/Middle School,Baltimore City,2021-03-17,2,62
Lincolnshire Elementary,Washington,2021-03-17,3,62
Manchester Valley High School,Carroll,2021-03-17,3,62
Mechanicsville Elementary,Carroll,2021-03-17,5,62
Mt. Aetna Adventist School,Washington,2021-03-17,4,62
Mount Saint Joseph High School,Baltimore City,2021-03-17,9,62
Ner Israel Rabbinical College,Baltimore,2021-03-17,4,62
Rosedale Baptist School,Baltimore,2021-03-17,5,62
Sabillasville Elementary School,Frederick,2021-03-17,2,62
Sparrows Point High School,Baltimore,2021-03-17,6,62
St. John Regional Catholic School,Frederick,2021-03-17,2,62
Saint John's Catholic Preparatory School,Frederick,2021-03-17,10,62
St. Maria Goretti High School,Washington,2021-03-17,4,62
St. Michael- St. Clement School,Baltimore,2021-03-17,3,62
St. Thomas More Academy,Frederick,2021-03-17,15,62
St. Ursula School,Baltimore,2021-03-17,2,62
Stepping Stones Learning Academy,Wicomico,2021-03-17,6,62
The Country School,Talbot,2021-03-17,8,62
Walt Whitman High School,Montgomery,2021-03-17,4,62
Westminster High School,Carroll,2021-03-17,7,62
White Marsh Elementary School,St. Mary's,2021-03-17,2,62
Winston Churchill High School,Montgomery,2021-03-17,2,62
Winter's Mill High School,Carroll,2021-03-17,2,62
Bais Yaakov Eva Winer High School,Baltimore,2021-03-17,5,62
Boonsboro High School,Washington,2021-03-17,7,62
The Bryn Mawr School ,Baltimore City,2021-03-17,2,62
Clear Spring High School,Washington,2021-03-17,3,62
Francis Scott Key Elementary School,Baltimore City,2021-03-17,3,62
Hammond High School,Howard,2021-03-17,2,62
The John Carroll School,Harford,2021-03-17,3,62
KIPP Harmony Academy,Baltimore City,2021-03-17,2,62
Leith Walk Elementary/Middle School,Baltimore City,2021-03-17,2,62
Lincolnshire Elementary,Washington,2021-03-17,3,62
Manchester Valley High School,Carroll,2021-03-17,3,62
Mechanicsville Elementary,Carroll,2021-03-17,5,62
Mt. Aetna Adventist School,Washington,2021-03-17,4,62
Mount Saint Joseph High School,Baltimore City,2021-03-17,9,62
Ner Israel Rabbinical College,Baltimore,2021-03-17,4,62
Rosedale Baptist School,Baltimore,2021-03-17,5,62
Sabillasville Elementary School,Frederick,2021-03-17,2,62
Sparrows Point High School,Baltimore,2021-03-17,6,62
St. John Regional Catholic School,Frederick,2021-03-17,2,62
Saint John's Catholic Preparatory School,Frederick,2021-03-17,10,62
St. Maria Goretti High School,Washington,2021-03-17,4,62
St. Michael- St. Clement School,Baltimore,2021-03-17,3,62
St. Thomas More Academy,Frederick,2021-03-17,15,62
St. Ursula School,Baltimore,2021-03-17,2,62
Stepping Stones Learning Academy,Wicomico,2021-03-17,6,62
The Country School,Talbot,2021-03-17,8,62
Walt Whitman High School,Montgomery,2021-03-17,4,62
Westminster High School,Carroll,2021-03-17,7,62
White Marsh Elementary School,St. Mary's,2021-03-17,2,62
Winston Churchill High School,Montgomery,2021-03-17,2,62
Winter's Mill High School,Carroll,2021-03-17,2,62
Bais Yaakov Eva Winer High School,Baltimore,2021-03-24,9,63
Boonsboro High School,Washington,2021-03-24,10,63
Clear Spring High School,Washington,2021-03-24,3,63
Francis Scott Key Elementary School,Baltimore City,2021-03-24,3,63
Frederick High School,Frederick,2021-03-24,4,63
Immaculate Conception School,Baltimore,2021-03-24,6,63
The John Carroll School,Harford,2021-03-24,3,63
KIPP Harmony Academy,Baltimore City,2021-03-24,3,63
Lincolnshire Elementary,Washington,2021-03-24,3,63
Manchester Valley High School,Carroll,2021-03-24,3,63
Mt. Aetna Adventist School,Washington,2021-03-24,4,63
Odenton Christian School,Anne Arundel,2021-03-24,10,63
Parkside High School,Invalid,2021-03-24,4,63
"Rochambeau, The French International School",Montgomery,2021-03-24,2,63
Sabillasville Elementary School,Frederick,2021-03-24,2,63
Snow Hill Middle School,Invalid,2021-03-24,3,63
St. John Regional Catholic School,Frederick,2021-03-24,2,63
St. Thomas More Academy,Frederick,2021-03-24,15,63
Stepping Stones Learning Academy,Invalid,2021-03-24,6,63
Talmudical Academy - Elementary School,Baltimore,2021-03-24,4,63
Talmudical Academy - High School,Baltimore,2021-03-24,2,63
The Norwood School,Montgomery,2021-03-24,2,63
Walt Whitman High School,Montgomery,2021-03-24,4,63
Waverly Elementary School,Howard,2021-03-24,2,63
Westminster High School,Carroll,2021-03-24,9,63
White Marsh Elementary School,St. Mary's,2021-03-24,2,63
Winston Churchill High School,Montgomery,2021-03-24,2,63
Winter's Mill High School,Carroll,2021-03-24,3,63
Bais Yaakov Eva Winer High School,Baltimore,2021-03-24,9,63
Boonsboro High School,Washington,2021-03-24,10,63
Clear Spring High School,Washington,2021-03-24,3,63
Francis Scott Key Elementary School,Baltimore City,2021-03-24,3,63
Frederick High School,Frederick,2021-03-24,4,63
Immaculate Conception School,Baltimore,2021-03-24,6,63
The John Carroll School,Harford,2021-03-24,3,63
KIPP Harmony Academy,Baltimore City,2021-03-24,3,63
Lincolnshire Elementary,Washington,2021-03-24,3,63
Manchester Valley High School,Carroll,2021-03-24,3,63
Mt. Aetna Adventist School,Washington,2021-03-24,4,63
Odenton Christian School,Anne Arundel,2021-03-24,10,63
Parkside High School,Wicomico,2021-03-24,4,63
"Rochambeau, The French International School",Montgomery,2021-03-24,2,63
Sabillasville Elementary School,Frederick,2021-03-24,2,63
Snow Hill Middle School,Worcester,2021-03-24,3,63
St. John Regional Catholic School,Frederick,2021-03-24,2,63
St. Thomas More Academy,Frederick,2021-03-24,15,63
Stepping Stones Learning Academy,Wicomico,2021-03-24,6,63
Talmudical Academy - Elementary School,Baltimore,2021-03-24,4,63
Talmudical Academy - High School,Baltimore,2021-03-24,2,63
The Norwood School,Montgomery,2021-03-24,2,63
Walt Whitman High School,Montgomery,2021-03-24,4,63
Waverly Elementary School,Howard,2021-03-24,2,63
Westminster High School,Carroll,2021-03-24,9,63
White Marsh Elementary School,St. Mary's,2021-03-24,2,63
Winston Churchill High School,Montgomery,2021-03-24,2,63
Winter's Mill High School,Carroll,2021-03-24,3,63
Archbishop Curley High School,Baltimore City,2021-03-31,2,64
Bais Yaakov Eva Winer High School,Baltimore,2021-03-31,9,64
Bohemia Manor High School,Cecil,2021-03-31,3,64
Boonsboro High School,Washington,2021-03-31,13,64
Boys' Latin School of Maryland,Baltimore City,2021-03-31,2,64
Calvert Hall College High School,Baltimore,2021-03-31,3,64
Cecil County School of Technology,Cecil,2021-03-31,3,64
Century High School,Carroll,2021-03-31,3,64
From the Heart Christian School,Montgomery,2021-03-31,8,64
Gilpin Manor Elementary School,Cecil,2021-03-31,2,64
Governor Thomas Johnson High School,Frederick,2021-03-31,5,64
Holly Grove Christian School,Somerset,2021-03-31,2,64
Howard High School,Howard,2021-03-31,2,64
Immaculate Conception School,Baltimore,2021-03-31,11,64
The John Carroll School,Harford,2021-03-31,3,64
Liberty Christian School,Baltimore,2021-03-31,2,64
McDonogh School,Baltimore,2021-03-31,2,64
Mechanicsville Elementary,Carroll,2021-03-31,7,64
Montgomery Blair High School,Montgomery,2021-03-31,2,64
Mt. Aetna Adventist School,Washington,2021-03-31,4,64
Odenton Christian School,Anne Arundel,2021-03-31,11,64
Orchard Grove Elementary School,Frederick,2021-03-31,2,64
Our Lady of Good Counsel High School,Montgomery,2021-03-31,3,64
Our Lady of Perpetual Help School,Howard,2021-03-31,2,64
Parkside High School,Wicomico,2021-03-31,4,64
Patapsco High School,Baltimore,2021-03-31,2,64
Pleasant Valley Elementary,Washington,2021-03-31,2,64
Rising Sun High School,Cecil,2021-03-31,2,64
River Hill High School,Howard,2021-03-31,2,64
"Rochambeau, The French International School",Montgomery,2021-03-31,4,64
Rock Church Academy,Baltimore,2021-03-31,2,64
Snow Hill Middle School,Worcester,2021-03-31,6,64
Stepping Stones Learning Academy,Wicomico,2021-03-31,6,64
Talbot Springs Elementary School,Howard,2021-03-31,2,64
Talmudical Academy Elementary School,Baltimore,2021-03-31,6,64
The Norwood School,Montgomery,2021-03-31,2,64
Walkersville High School,Frederick,2021-03-31,3,64
White Marsh Elementary School,St. Mary's,2021-03-31,2,64
Williamsport High School,Washington,2021-03-31,6,64
Winston Churchill High School,Montgomery,2021-03-31,2,64
Archbishop Curley High School,Baltimore City,2021-04-07,2,65
Bais Yaakov Eva Winer High School,Baltimore,2021-04-07,9,65
Bohemia Manor High School,Cecil,2021-04-07,3,65
Boonsboro High School,Washington,2021-04-07,14,65
Boys' Latin School of Maryland,Baltimore City,2021-04-07,4,65
Calvert Hall College High School,Baltimore,2021-04-07,6,65
Catonsville High School,Baltimore,2021-04-07,2,65
Cecil County School of Technology,Cecil,2021-04-07,3,65
Century High School,Carroll,2021-04-07,3,65
Concordia Preparatory School,Baltimore,2021-04-07,3,65
Eastern Technical High School,Baltimore,2021-04-07,2,65
Forest Lakes Elementary School,Harford,2021-04-07,2,65
From the Heart Christian School,Montgomery,2021-04-07,8,65
Gilpin Manor Elementary School,Cecil,2021-04-07,2,65
Governor Thomas Johnson High School,Frederick,2021-04-07,5,65
Great Mills High School,St. Mary's,2021-04-07,2,65
Holly Grove Christian School,Somerset,2021-04-07,4,65
Howard High School,Howard,2021-04-07,2,65
Immaculate Conception School,Baltimore,2021-04-07,9,65
The John Carroll School,Harford,2021-04-07,5,65
Laurel Hall,Washington,2021-04-07,2,65
Liberty Christian School,Baltimore,2021-04-07,2,65
McDonogh School,Baltimore,2021-04-07,3,65
Montgomery Blair High School,Montgomery,2021-04-07,2,65
North Caroline High School,Caroline,2021-04-07,3,65
North Dorchester Middle School,Dorchester,2021-04-07,2,65
Oakdale High School,Frederick,2021-04-07,2,65
Orchard Grove Elementary School,Frederick,2021-04-07,2,65
Our Lady of Good Counsel High School,Montgomery,2021-04-07,3,65
Our Lady of Lourdes School - 4th Grade,Montgomery,2021-04-07,3,65
Our Lady of Perpetual Help School,Howard,2021-04-07,2,65
Pleasant Valley Elementary,Washington,2021-04-07,3,65
Rising Sun High School,Cecil,2021-04-07,2,65
Sherwood High School,Montgomery,2021-04-07,2,65
Snow Hill Middle School,Worcester,2021-04-07,6,65
Springfield Middle School,Washington,2021-04-07,2,65
St. John the Evangelist School,Anne Arundel,2021-04-07,6,65
Stephen Decatur High School,Worcester,2021-04-07,4,65
Talbot Springs Elementary School,Howard,2021-04-07,4,65
Talmudical Academy Elementary School,Baltimore,2021-04-07,6,65
The Heights School,Montgomery,2021-04-07,2,65
Tuscarora High School,Frederick,2021-04-07,2,65
Walkersville High School,Frederick,2021-04-07,6,65
Williamsport High School,Washington,2021-04-07,13,65
Archbishop Curley High School,Baltimore City,2021-04-07,2,65
Bais Yaakov Eva Winer High School,Baltimore,2021-04-07,9,65
Bohemia Manor High School,Cecil,2021-04-07,3,65
Boonsboro High School,Washington,2021-04-07,14,65
Boys' Latin School of Maryland,Baltimore City,2021-04-07,4,65
Calvert Hall College High School,Baltimore,2021-04-07,6,65
Catonsville High School,Baltimore,2021-04-07,2,65
Cecil County School of Technology,Cecil,2021-04-07,3,65
Century High School,Carroll,2021-04-07,3,65
Concordia Preparatory School,Baltimore,2021-04-07,3,65
Eastern Technical High School,Baltimore,2021-04-07,2,65
Forest Lakes Elementary School,Harford,2021-04-07,2,65
From the Heart Christian School,Montgomery,2021-04-07,8,65
Gilpin Manor Elementary School,Cecil,2021-04-07,2,65
Governor Thomas Johnson High School,Frederick,2021-04-07,5,65
Great Mills High School,St. Mary's,2021-04-07,2,65
Holly Grove Christian School,Somerset,2021-04-07,4,65
Howard High School,Howard,2021-04-07,2,65
Immaculate Conception School,Baltimore,2021-04-07,9,65
The John Carroll School,Harford,2021-04-07,5,65
Laurel Hall,Washington,2021-04-07,2,65
Liberty Christian School,Baltimore,2021-04-07,2,65
McDonogh School,Baltimore,2021-04-07,3,65
Montgomery Blair High School,Montgomery,2021-04-07,2,65
North Caroline High School,Caroline,2021-04-07,3,65
North Dorchester Middle School,Dorchester,2021-04-07,2,65
Oakdale High School,Frederick,2021-04-07,2,65
Orchard Grove Elementary School,Frederick,2021-04-07,2,65
Our Lady of Good Counsel High School,Montgomery,2021-04-07,3,65
Our Lady of Lourdes School - 4th Grade,Montgomery,2021-04-07,3,65
Our Lady of Perpetual Help School,Howard,2021-04-07,2,65
Pleasant Valley Elementary,Washington,2021-04-07,3,65
Rising Sun High School,Cecil,2021-04-07,2,65
Sherwood High School,Montgomery,2021-04-07,2,65
Snow Hill Middle School,Worcester,2021-04-07,6,65
Springfield Middle School,Washington,2021-04-07,2,65
St. John the Evangelist School,Anne Arundel,2021-04-07,6,65
Stephen Decatur High School,Worcester,2021-04-07,4,65
Talbot Springs Elementary School,Howard,2021-04-07,4,65
Talmudical Academy Elementary School,Baltimore,2021-04-07,6,65
The Heights School,Montgomery,2021-04-07,2,65
Walkersville High School,Frederick,2021-04-07,6,65
Williamsport High School,Washington,2021-04-07,13,65
Archbishop Curley High School,Baltimore City,2021-04-13,2,66
Bais Yaakov Eva Winer High School,Baltimore,2021-04-13,9,66
Beall Elementary School,Allegany,2021-04-13,5,66
Bellows Spring Elementary School,Howard,2021-04-13,3,66
Boonsboro High School,Washington,2021-04-13,14,66
Boys' Latin School of Maryland,Baltimore City,2021-04-13,4,66
Calvert Hall College High School,Baltimore,2021-04-13,6,66
Catonsville High School,Baltimore,2021-04-13,2,66
Century High School,Carroll,2021-04-13,3,66
Chopticon High School,St. Mary's,2021-04-13,2,66
Concordia Preparatory School,Baltimore,2021-04-13,4,66
Eastern Elementary School,Washington,2021-04-13,3,66
Eastern Technical High School,Baltimore,2021-04-13,3,66
Forest Lakes Elementary School,Harford,2021-04-13,3,66
Fulton Elementary School,Howard,2021-04-13,5,66
Great Mills High School,St. Mary's,2021-04-13,2,66
Great Seneca Creek Elementary School,Montgomery,2021-04-13,2,66
Howard High School,Howard,2021-04-13,2,66
Laurel Hall School,Washington,2021-04-13,2,66
Mace's Lane Middle School,Dorchester,2021-04-13,3,66
Marriotts Ridge High School,Howard,2021-04-13,2,66
McDonogh School,Baltimore,2021-04-13,3,66
North Caroline High School,Caroline,2021-04-13,3,66
North Dorchester Middle School,Dorchester,2021-04-13,2,66
Our Lady of Lourdes School,Montgomery,2021-04-13,3,66
Our Lady of Perpetual Help School,Howard,2021-04-13,2,66
Patterson Mill Middle High School,Harford,2021-04-13,3,66
Paul Laurence Dunbar High School,Baltimore City,2021-04-13,2,66
Rising Sun High School,Cecil,2021-04-13,2,66
Smithsburg High School,Washington,2021-04-13,2,66
Somerset Intermediate School,Somerset,2021-04-13,2,66
Springfield Middle School,Washington,2021-04-13,2,66
St. John the Evangelist School,Anne Arundel,2021-04-13,6,66
St. Mary School,Washington,2021-04-13,2,66
Stephen Decatur High School,Worcester,2021-04-13,5,66
Talbott Springs Elementary School,Howard,2021-04-13,4,66
Talmudical Academy Elementary School,Baltimore,2021-04-13,7,66
The Heights School,Montgomery,2021-04-13,2,66
The Odyssey School,Baltimore,2021-04-13,5,66
Walkersville High School,Frederick,2021-04-13,6,66
Williamsport High School,Washington,2021-04-13,18,66
Archbishop Curley High School,Baltimore City,2021-04-13,2,66
Bais Yaakov Eva Winer High School,Baltimore,2021-04-13,9,66
Beall Elementary School,Allegany,2021-04-13,5,66
Bellows Spring Elementary School,Howard,2021-04-13,3,66
Boonsboro High School,Washington,2021-04-13,14,66
Boys' Latin School of Maryland,Baltimore City,2021-04-13,4,66
Calvert Hall College High School,Baltimore,2021-04-13,6,66
Catonsville High School,Baltimore,2021-04-13,2,66
Century High School,Carroll,2021-04-13,3,66
Chopticon High School,St. Mary's,2021-04-13,2,66
Concordia Preparatory School,Baltimore,2021-04-13,4,66
Eastern Elementary School,Washington,2021-04-13,3,66
Eastern Technical High School,Baltimore,2021-04-13,3,66
Forest Lakes Elementary School,Harford,2021-04-13,3,66
Fulton Elementary School,Howard,2021-04-13,5,66
