school,county,school_new,county_new
PURCELL ELEMENTARY SCHOOL,POLK,PURCELL ELEMENTARY SCHOOL,POLK
PURPOSE ACADEMY,BROWARD,PURPOSE ACADEMY,BROWARD
PUTNAM ACADEMY OF ARTS AND SCIENCES,PUTNAM,PUTNAM ACADEMY OF ARTS AND SCIENCES,PUTNAM
PUTNAM DISTRICT OFFICE,PUTNAM,PUTNAM DISTRICT OFFICE,PUTNAM
PUTNAM EDGE HIGH SCHOOL,PUTNAM,PUTNAM EDGE HIGH SCHOOL,PUTNAM
PUZZLE BOX ACADEMY,BREVARD,PUZZLE BOX ACADEMY,BREVARD
PUZZLE BOX ACADEMY 2,BREVARD,PUZZLE BOX ACADEMY 2,BREVARD
PVPV/RAWLINGS ELEMENTARY SCHOOL,ST. JOHNS,PVPV/RAWLINGS ELEMENTARY SCHOOL,ST. JOHNS
Q.I. ROBERTS JR. - SR. HIGH SCHOOL,PUTNAM,Q.I. ROBERTS JUNIONR-SENIOR HIGH SCHOOL,PUTNAM
QUAIL HOLLOW ELEMENTARY SCHOOL,PASCO,QUAIL HOLLOW ELEMENTARY SCHOOL,PASCO
QUANTUM HIGH SCHOOL,PALM BEACH,QUANTUM HIGH SCHOOL,PALM BEACH
QUEEN OF ALL SAINTS ACADEMY,HERNANDO,QUEEN OF ALL SAINTS ACADEMY,HERNANDO
QUEEN OF PEACE CATHOLIC ACADEMY,ALACHUA,QUEEN OF PEACE CATHOLIC ACADEMY,ALACHUA
QUEST ELEMENTARY SCHOOL,BREVARD,QUEST ELEMENTARY SCHOOL,BREVARD
QUIET WATERS ELEMENTARY SCHOOL,BROWARD,QUIET WATERS ELEMENTARY SCHOOL,BROWARD
R J MURRAY MIDDLE SCHOOL,ST. JOHNS,R J MURRAY MIDDLE SCHOOL,ST. JOHNS
R L BROWN GIFTED AND TALENTED ACADEMY,DUVAL,R L BROWN GIFTED AND TALENTED ACADEMY,DUVAL
R. B. HUNT ELEMENTARY SCHOOL,ST. JOHNS,R. B. HUNT ELEMENTARY SCHOOL,ST. JOHNS
R. BRUCE WAGNER ELEMENTARY SCHOOL,POLK,R. BRUCE WAGNER ELEMENTARY SCHOOL,POLK
R. C. BANNERMAN LEARNING CENTER,CLAY,R. C. BANNERMAN LEARNING CENTER,CLAY
R. C. LIPSCOMB ELEMENTARY SCHOOL,ESCAMBIA,R. C. LIPSCOMB ELEMENTARY SCHOOL,ESCAMBIA
R. CLEM CHURCHWELL ELEMENTARY SCHOOL,POLK,R. CLEM CHURCHWELL ELEMENTARY SCHOOL,POLK
R. DAN NOLAN MIDDLE SCHOOL,MANATEE,R. DAN NOLAN MIDDLE SCHOOL,MANATEE
R. FRANK NIMS MIDDLE SCHOOL,LEON,R. FRANK NIMS MIDDLE SCHOOL,LEON
R. J. LONGSTREET ELEMENTARY SCHOOL,VOLUSIA,R. J. LONGSTREET ELEMENTARY SCHOOL,VOLUSIA
R. V. DANIELS ELEMENTARY SCHOOL,DUVAL,R. V. DANIELS ELEMENTARY SCHOOL,DUVAL
R.F.M. CHRISTIAN ACADEMY,BREVARD,R.F.M. CHRISTIAN ACADEMY,BREVARD
R.M. PATERSON,CLAY,R.M. PATERSON ELEMENTARY SCHOOL,CLAY
R.M. PATERSON ELEMENTARY,CLAY,R.M. PATERSON ELEMENTARY SCHOOL,CLAY
RAA MIDDLE SCHOOL,LEON,RAA MIDDLE SCHOOL,LEON
RABBI ALEXANDER S. GROSS HEBREW ACADEMY,MIAMI-DADE,RABBI ALEXANDER S. GROSS HEBREW ACADEMY,MIAMI-DADE
RADFORD M LOCKLIN TECHNICAL COLLEGE,SANTA ROSA,RADFORD M LOCKLIN TECHNICAL COLLEGE,SANTA ROSA
RADIANT LIFE ACADEMY,ORANGE,RADIANT LIFE ACADEMY,ORANGE
RAINBOW ELEMENTARY SCHOOL,SEMINOLE,RAINBOW ELEMENTARY SCHOOL,SEMINOLE
RAINBOW PARK ELEMENTARY SCHOOL,MIAMI-DADE,RAINBOW PARK ELEMENTARY SCHOOL,MIAMI-DADE
RAINTREE CHRISTIAN ACADEMY,PASCO,RAINTREE CHRISTIAN ACADEMY,PASCO
RAISING KNOWLEDGE ACADEMY INC.,ORANGE,RAISING KNOWLEDGE ACADEMY INC.,ORANGE
RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,BREVARD,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,BREVARD
RAMBLEWOOD ELEMENTARY SCHOOL,BROWARD,RAMBLEWOOD ELEMENTARY SCHOOL,BROWARD
RAMBLEWOOD MIDDLE SCHOOL,BROWARD,RAMBLEWOOD MIDDLE SCHOOL,BROWARD
RAMONA BOULEVARD ELEMENTARY SCHOOL,DUVAL,RAMONA BOULEVARD ELEMENTARY SCHOOL,DUVAL
RAMPELLO K-8 MAGNET SCHOOL,HILLSBOROUGH,RAMPELLO K-8 MAGNET SCHOOL,HILLSBOROUGH
RANDALL ACADEMY,ORANGE,RANDALL ACADEMY,ORANGE
RANDALL MIDDLE SCHOOL,HILLSBOROUGH,RANDALL MIDDLE SCHOOL,HILLSBOROUGH
RANSOM EVERGLADE MIDDLE SCHOOL,MIAMI-DADE,RANSOM EVERGLADES MIDDLE SCHOOL,MIAMI-DADE
RANSOM EVERGLADES,MIAMI-DADE,RANSOM EVERGLADES SCHOOL,MIAMI-DADE
RANSOM EVERGLADES HIGH SCHOOL,MIAMI-DADE,RANSOM EVERGLADES HIGH SCHOOL,MIAMI-DADE
RANSOM EVERGLADES MIDDLE SCHOOL,MIAMI-DADE,RANSOM EVERGLADES MIDDLE SCHOOL,MIAMI-DADE
RANSOM EVERGLADES SCHOOL,MIAMI-DADE,RANSOM EVERGLADES SCHOOL,MIAMI-DADE
RANSOM EVERGLADES SCHOOL,UNKNOWN,RANSOM EVERGLADES SCHOOL,MIAMI-DADE
RANSOM EVERGLADES UPPER SCHOOL,MIAMI-DADE,RANSOM EVERGLADES UPPER SCHOOL,MIAMI-DADE
RANSOM MIDDLE SCHOOL,ESCAMBIA,RANSOM MIDDLE SCHOOL,ESCAMBIA
RASMUSSEN COLLEGE,LEE,RASMUSSEN COLLEGE,LEE
RASMUSSEN COLLEGE - LAND O' LAKES,PASCO,RASMUSSEN COLLEGE - LAND O' LAKES,PASCO
RASMUSSEN COLLEGE - NEW PORT RICHEY,PASCO,RASMUSSEN COLLEGE - NEW PORT RICHEY,PASCO
RASMUSSEN COLLEGE - OCALA SCHOOL OF NURSING,MARION,RASMUSSEN COLLEGE-OCALA SCHOOL OF NURSING,MARION
RASMUSSEN COLLEGE-LAND O' LAKES,PASCO,RASMUSSEN COLLEGE - LAND O' LAKES,PASCO
RASMUSSEN COLLEGE-NEW PORT RICHEY,PASCO,RASMUSSEN COLLEGE - NEW PORT RICHEY,PASCO
RASMUSSEN COLLEGE-OCALA SCHOOL OF NURSING,MARION,RASMUSSEN COLLEGE-OCALA SCHOOL OF NURSING,MARION
RASMUSSEN UNIVERSITY,UNKNOWN,RASMUSSEN UNIVERSITY,ORANGE
RAY V. POTTORF ELEMENTARY SCHOOL,LEE,RAY V. POTTORF ELEMENTARY SCHOOL,LEE
RAYMA C. PAGE ELEMENTARY SCHOOL,LEE,RAYMA C. PAGE ELEMENTARY SCHOOL,LEE
RAYMOND B. STEWART MIDDLE SCHOOL,PASCO,RAYMOND B. STEWART MIDDLE SCHOOL,PASCO
RCMA WIMAUMA COMMUNITY ACADEMY,HILLSBOROUGH,RCMA WIMAUMA COMMUNITY ACADEMY,HILLSBOROUGH
RCMA WIMAUMA COMMUNITY ACADEMY-RCMA CHARTER SC,UNKNOWN,RCMA WIMAUMA COMMUNITY ACADEMY,HILLSBOROUGH
RCMA WIMAUMA COMMUNITY ACADEMY-RCMA CHARTER SCH,UNKNOWN,RCMA WIMAUMA COMMUNITY ACADEMY,HILLSBOROUGH
RCMA WIMAUMA COMMUNITY ACADEMY-RCMA CHARTER SCHOOL,UNKNOWN,RCMA WIMAUMA COMMUNITY ACADEMY,HILLSBOROUGH
RCMA-BOOKER T. WASHINGTON,GLADES,RCMA-BOOKER T. WASHINGTON,GLADES
RCMA-GROVE POINT CHILD DEVELOPMENT CENTER,UNKNOWN,RCMA-GROVE POINT CHILD DEVELOPMENT CENTER,HILLSBOROUGH
READ-PATTILLO ELEMENTARY SCHOOL,VOLUSIA,READ-PATTILLO ELEMENTARY SCHOOL,VOLUSIA
REAGAN EDUCATIONAL ACADEMY INC.,MIAMI-DADE,REAGAN EDUCATIONAL ACADEMY INC.,MIAMI-DADE
REAL ACADEMY,POLK,REAL ACADEMY (REACHING EVERY ADOLESCENT LEARNER),POLK
REAL ACADEMY (REACHING EVERY ADOLESCENT LEARNER) (LAKELAND,POLK,REAL ACADEMY (REACHING EVERY ADOLESCENT LEARNER),POLK
REAL LIFE CHRISTIAN ACADEMY,LAKE,REAL LIFE CHRISTIAN ACADEMY,LAKE
REBORN CHRISTIAN ACADEMY,OSCEOLA,REBORN CHRISTIAN ACADEMY,OSCEOLA
RED BUG ELEMENTARY SCHOOL,SEMINOLE,RED BUG ELEMENTARY SCHOOL,SEMINOLE
REDDICK COLLIER ELEMENTARY,UNKNOWN,REDDICK-COLLIER ELEMENTARY SCHOOL,COLLIER
REDDICK ELEMENTARY SCHOOL,HILLSBOROUGH,REDDICK ELEMENTARY SCHOOL,HILLSBOROUGH
REDDICK-COLLIER ELEMENTARY SCHOOL,MARION,REDDICK-COLLIER ELEMENTARY SCHOOL,MARION
REDEEMER CHRISTIAN SCHOOL,MARION,REDEEMER CHRISTIAN SCHOOL,MARION
REDEEMER LUTHERAN ELEM/MIDDLE SCHOOL,ESCAMBIA,REDEEMER LUTHERAN ELEM/MIDDLE SCHOOL,ESCAMBIA
REDEEMER LUTHERAN SCHOOL,CHARLOTTE,REDEEMER LUTHERAN SCHOOL,CHARLOTTE
REDEEMER LUTHERAN SCHOOL,MARTIN,REDEEMER LUTHERAN SCHOOL,MARTIN
REDLAND CHRISTIAN ACADEMY INC.,MIAMI-DADE,REDLAND CHRISTIAN ACADEMY INC.,MIAMI-DADE
REDLAND CHRISTIAN MIGRANT ASSOCIATION,UNKNOWN,REDLAND CHRISTIAN MIGRANT ASSOCIATION,MIAMI-DADE
REDLAND ELEMENTARY SCHOOL,MIAMI-DADE,REDLAND ELEMENTARY SCHOOL,MIAMI-DADE
REDLAND MIDDLE SCHOOL,MIAMI-DADE,REDLAND MIDDLE SCHOOL,MIAMI-DADE
REDONDO ELEMENTARY SCHOOL,MIAMI-DADE,REDONDO ELEMENTARY SCHOOL,MIAMI-DADE
REEDY CREEK ELEMENTARY,OSCEOLA,REEDY CREEK ELEMENTARY SCHOOL,OSCEOLA
REEDY CREEK ELEMENTARY SCHOOL,OSCEOLA,REEDY CREEK ELEMENTARY SCHOOL,OSCEOLA
REFINE LEARNING CENTER,BROWARD,REFINE LEARNING CENTER,BROWARD
REFUSED,UNKNOWN,,
REFUSED INFO,UNKNOWN,,
REGENCY CHRISTIAN ACADEMY,ORANGE,REGENCY CHRISTIAN ACADEMY,ORANGE
REIGN HOMESCHOOLING ACADEMY,VOLUSIA,REIGN HOMESCHOOLING ACADEMY,VOLUSIA
REINHARDT HOLM ELEMENTARY SCHOOL,ESCAMBIA,REINHARDT HOLM ELEMENTARY SCHOOL,ESCAMBIA
REM LEARNING CENTER SOUTH,MIAMI-DADE,REM LEARNING CENTER SOUTH,MIAMI-DADE
RENAISSANCE CHARTER,PALM BEACH,RENAISSANCE CHARTER,PALM BEACH
RENAISSANCE CHARTER AT CROWN POINT,ORANGE,RENAISSANCE CHARTER SCHOOL AT CROWN POINT,ORANGE
RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,BROWARD,RENAISSANCE CHARTER SCHOOL AT PINES,BROWARD
RENAISSANCE CHARTER SCHOOL,UNKNOWN,RENAISSANCE CHARTER,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT BOGGY CREEK,OSCEOLA,RENAISSANCE CHARTER SCHOOL AT BOGGY CREEK,OSCEOLA
RENAISSANCE CHARTER SCHOOL AT CENTRAL PALM,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CENTRAL PALM,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT CHICKASAW TRAIL,ORANGE,RENAISSANCE CHARTER SCHOOL AT CHICKASAW TRAIL,ORANGE
RENAISSANCE CHARTER SCHOOL AT COOPER CITY,BROWARD,RENAISSANCE CHARTER SCHOOL AT COOPER CITY,BROWARD
RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,BROWARD,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,BROWARD
RENAISSANCE CHARTER SCHOOL AT CYPRESS,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT CYPRESS,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT GOLDENROD,ORANGE,RENAISSANCE CHARTER SCHOOL AT GOLDENROD,ORANGE
RENAISSANCE CHARTER SCHOOL AT HUNTER'S CREEK,ORANGE,RENAISSANCE CHARTER SCHOOL AT HUNTER'S CREEK,ORANGE
RENAISSANCE CHARTER SCHOOL AT HUNTERS CREEK,ORANGE,RENAISSANCE CHARTER SCHOOL AT HUNTER'S CREEK,ORANGE
RENAISSANCE CHARTER SCHOOL AT PALMS WEST,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT PALMS WEST,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT PLANTATION,BROWARD,RENAISSANCE CHARTER SCHOOL AT PLANTATION,BROWARD
RENAISSANCE CHARTER SCHOOL AT POINCIANA,OSCEOLA,RENAISSANCE CHARTER SCHOOL AT POINCIANA,OSCEOLA
RENAISSANCE CHARTER SCHOOL AT SUMMIT,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT SUMMIT,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT TAPESTRY,OSCEOLA,RENAISSANCE CHARTER SCHOOL AT TAPESTRY,OSCEOLA
RENAISSANCE CHARTER SCHOOL AT TAPESTRY,UNKNOWN,RENAISSANCE CHARTER SCHOOL AT TAPESTRY,OSCEOLA
RENAISSANCE CHARTER SCHOOL AT TRADITION,ST. LUCIE,RENAISSANCE CHARTER SCHOOL AT TRADITION,ST. LUCIE
RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,BROWARD,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,BROWARD
RENAISSANCE CHARTER SCHOOL AT WELLINGTON,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WELLINGTON,PALM BEACH
RENAISSANCE CHARTER SCHOOL AT WEST PALM BEACH,PALM BEACH,RENAISSANCE CHARTER SCHOOL AT WEST PALM BEACH,PALM BEACH
RENAISSANCE CHARTER SCHOOL OF ST. LUCIE,ST. LUCIE,RENAISSANCE CHARTER SCHOOL OF ST. LUCIE,ST. LUCIE
RENAISSANCE CHARTER SCHOOLS AT PINES,BROWARD,RENAISSANCE CHARTER SCHOOL AT PINES,BROWARD
RENAISSANCE ELEMENTARY CHARTER SCHOOL,MIAMI-DADE,RENAISSANCE ELEMENTARY SCHOOL CHARTER SCHOOL,MIAMI-DADE
RENAISSANCE MIDDLE CHARTER SCHOOL,MIAMI-DADE,RENAISSANCE MIDDLE CHARTER SCHOOL,MIAMI-DADE
RENNAISANANCE MIDDLE SCHOOL,UNKNOWN,RENAISSANCE MIDDLE CHARTER SCHOOL,MIAMI-DADE
RENNIANCE CHARTER,UNKNOWN,RENAISSANCE CHARTER,PALM BEACH
RENNISANCE CHARTER SCHOOL,UNKNOWN,RENAISSANCE CHARTER,PALM BEACH
RESILIENCE CHARTER SCHOOL INC,ALACHUA,RESILIENCE CHARTER SCHOOL INC,ALACHUA
RESURRECTION CATHOLIC SCHOOL,DUVAL,RESURRECTION CATHOLIC SCHOOL,DUVAL
RESURRECTION CATHOLIC SCHOOL,POLK,RESURRECTION CATHOLIC SCHOOL,POLK
REVIVAL FIRE CHRISTIAN ACADEMY,SEMINOLE,REVIVAL FIRE CHRISTIAN ACADEMY,SEMINOLE
REYNOLDS LANE ELEMENTARY SCHOOL,DUVAL,REYNOLDS LANE ELEMENTARY SCHOOL,DUVAL
RFM CHRISTIAN ACADEMY,BREVARD,RFM CHRISTIAN ACADEMY,BREVARD
RHEMA WORD CHRISTIAN ACADEMY,BROWARD,RHEMA WORD CHRISTIAN ACADEMY,BROWARD
RHODORA J. DONAHUE ACADEMY,COLLIER,RHODORA J. DONAHUE ACADEMY,COLLIER
RICHARD L. SANDERS SCHOOL,PINELLAS,RICHARD L. SANDERS SCHOOL,PINELLAS
RICHARD MILBURN ACADEMY,VOLUSIA,RICHARD MILBURN ACADEMY,VOLUSIA
RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINO,PINELLAS,RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOLE,PINELLAS
RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOL,PINELLAS,RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOLE,PINELLAS
RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOLE,PINELLAS,RICHARD O JACOBSON TECHNICAL HIGH SCHOOL AT SEMINOLE,PINELLAS
RICHARDSON SIXTH GRADE ACADEMY,COLUMBIA,RICHARDSON SIXTH GRADE ACADEMY,COLUMBIA
RICHBOURG SCHOOL,OKALOOSA,RICHBOURG SCHOOL,OKALOOSA
RICHEY ELEMENTARY SCHOOL,PASCO,RICHEY ELEMENTARY SCHOOL,PASCO
RICHMOND HEIGHTS MIDDLE SCHOOL,MIAMI-DADE,RICHMOND HEIGHTS MIDDLE SCHOOL,MIAMI-DADE
RICHMOND PERRINE OPTIMIST,MIAMI-DADE,RICHMOND PERRINE OPTIMIST,MIAMI-DADE
RICKARDS,UNKNOWN,RICKARDS HIGH SCHOOL,LEON
RICKARDS HIGH SCHOOL,LEON,RICKARDS HIGH SCHOOL,LEON
RICKARDS HIGH SCHOOL,UNKNOWN,RICKARDS HIGH SCHOOL,LEON
RICKARDS HIGH SCHOOLS,LEON,RICKARDS HIGH SCHOOL,LEON
RIDEOUT ELEMENTARY SCHOOL,CLAY,RIDEOUT ELEMENTARY SCHOOL,CLAY
RIDGE CHRISTIAN ACADEMY,POLK,RIDGE CHRISTIAN ACADEMY,POLK
RIDGE COMMUNITY HIGH SCHOOL,POLK,RIDGE COMMUNITY HIGH SCHOOL,POLK
RIDGE MANOR CHRISTIAN ACADEMY,HERNANDO,RIDGE MANOR CHRISTIAN ACADEMY,HERNANDO
RIDGE TECHNICAL ACADEMY,POLK,RIDGE TECHNICAL ACADEMY,POLK
RIDGE TECHNICAL COLLEGE,POLK,RIDGE TECHNICAL COLLEGE,POLK
RIDGE TECHNICAL COLLEGE,UNKNOWN,RIDGE TECHNICAL COLLEGE,POLK
RIDGE TEEN PARENT PROGRAM,POLK,RIDGE TEEN PARENT PROGRAM,POLK
RIDGECREST ELEMENTARY SCHOOL,PINELLAS,RIDGECREST ELEMENTARY SCHOOL,PINELLAS
RIDGEVIEW ELEMENTARY SCHOOL,CLAY,RIDGEVIEW ELEMENTARY SCHOOL,CLAY
RIDGEVIEW GLOBAL STUDIES ACADEMY,POLK,RIDGEVIEW GLOBAL STUDIES ACADEMY,POLK
RIDGEVIEW HIGH SCHOOL,CLAY,RIDGEVIEW HIGH SCHOOL,CLAY
RIDGEWOOD PARK ELEMENTARY,ORANGE,RIDGEWOOD PARK ELEMENTARY SCHOOL,ORANGE
RILEY,UNKNOWN,,
RIMES EARLY LEARNING & LITERACY CENTER,LAKE,RIMES EARLY LEARNING & LITERACY CENTER,LAKE
RINGLING COLLEGE OF ART AND DESIGN,SARASOTA,RINGLING COLLEGE OF ART AND DESIGN,SARASOTA
RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY,BROWARD,RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY,BROWARD
RISING LEADERS ACADEMY,BAY,RISING LEADERS ACADEMY,BAY
RIVER BIBLE INSTITUTE,HILLSBOROUGH,RIVER BIBLE INSTITUTE,HILLSBOROUGH
RIVER CITY ACADEMY,DUVAL,RIVER CITY SCIENCE ACADEMY,DUVAL
RIVER CITY SCIENCE ACADEMY,DUVAL,RIVER CITY SCIENCE ACADEMY,DUVAL
RIVER CITY SCIENCE ACADEMY AT MANDARIN,DUVAL,RIVER CITY SCIENCE ACADEMY AT MANDARIN,DUVAL
RIVER CITY SCIENCE ACADEMY INNOVATION SCHOOL,DUVAL,RIVER CITY SCIENCE ACADEMY INNOVATION SCHOOL,DUVAL
RIVER CITY SCIENCE ELEMENTARY ACADEMY,DUVAL,RIVER CITY SCIENCE ELEMENTARY SCHOOL ACADEMY,DUVAL
RIVER HALL ELEMENTARY SCHOOL,LEE,RIVER HALL ELEMENTARY SCHOOL,LEE
RIVER OAK TECHNICAL COLLEGE,SUWANNEE,RIVER OAK TECHNICAL COLLEGE,SUWANNEE
RIVER RIDGE HIGH ADULT EDUCATION,PASCO,RIVER RIDGE HIGH ADULT EDUCATION,PASCO
RIVER RIDGE HIGH SCHOOL,PASCO,RIVER RIDGE HIGH SCHOOL,PASCO
RIVER RIDGE MIDDLE SCHOOL,PASCO,RIVER RIDGE MIDDLE SCHOOL,PASCO
RIVER SPRINGS MIDDLE SCHOOL,VOLUSIA,RIVER SPRINGS MIDDLE SCHOOL,VOLUSIA
RIVER VALLEY TECHNICAL INSTITUTE,SUWANNEE,RIVER VALLEY TECHNICAL INSTITUTE,SUWANNEE
RIVERBEND ACADEMY,MARTIN,RIVERBEND ACADEMY,MARTIN
RIVERBEND ACADEMY,VOLUSIA,RIVERBEND ACADEMY,VOLUSIA
RIVERDALE COUNTRY DAY SCHOOL,BREVARD,RIVERDALE COUNTRY DAY SCHOOL,BREVARD
RIVERDALE ELEMENTARY,ORANGE,RIVERDALE ELEMENTARY SCHOOL,ORANGE
RIVERDALE ELEMENTARY SCHOOL,ORANGE,RIVERDALE ELEMENTARY SCHOOL,ORANGE
RIVERDALE HIGH SCHOOL,LEE,RIVERDALE HIGH SCHOOL,LEE
RIVERDALE LEARNING ACADEMY,UNKNOWN,,
RIVERGLADES ELEMENTARY SCHOOL,BROWARD,RIVERGLADES ELEMENTARY SCHOOL,BROWARD
RIVERHILLS ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,RIVERHILLS ELEMENTARY SCHOOL MAGNET SCHOOL,HILLSBOROUGH
RIVERLAND CHRISTIAN ACADEMY,MARION,RIVERLAND CHRISTIAN ACADEMY,MARION
RIVERLAND ELEMENTARY SCHOOL,BROWARD,RIVERLAND ELEMENTARY SCHOOL,BROWARD
RIVEROAK TECHNICAL COLLEGE,SUWANNEE,RIVEROAK TECHNICAL COLLEGE,SUWANNEE
RIVERS EDGE ELEMENTARY SCHOOL,ST. LUCIE,RIVERS EDGE ELEMENTARY SCHOOL,ST. LUCIE
RIVERSIDE CHRISTIAN SCHOOL,GILCHRIST,RIVERSIDE CHRISTIAN SCHOOL,GILCHRIST
RIVERSIDE ELEMENTARY,ORANGE,RIVERSIDE ELEMENTARY SCHOOL,ORANGE
RIVERSIDE ELEMENTARY SCHOOL,BROWARD,RIVERSIDE ELEMENTARY SCHOOL,BROWARD
RIVERSIDE ELEMENTARY SCHOOL,MIAMI-DADE,RIVERSIDE ELEMENTARY SCHOOL,MIAMI-DADE
RIVERSIDE ELEMENTARY SCHOOL,OKALOOSA,RIVERSIDE ELEMENTARY SCHOOL,OKALOOSA
RIVERSIDE PRESBYTERIAN DAY SCHOOL,DUVAL,RIVERSIDE PRESBYTERIAN DAY SCHOOL,DUVAL
RIVERSINK ELEMENTARY SCHOOL,WAKULLA,RIVERSINK ELEMENTARY SCHOOL,WAKULLA
RIVERSPRINGS MIDDLE SCHOOL,WAKULLA,RIVERSPRINGS MIDDLE SCHOOL,WAKULLA
RIVERVIEW ACADEMY OF MATH AND SCIENCE,HILLSBOROUGH,RIVERVIEW ACADEMY OF MATH AND SCIENCE,HILLSBOROUGH
RIVERVIEW ELEMENTARY SCHOOL,HILLSBOROUGH,RIVERVIEW ELEMENTARY SCHOOL,HILLSBOROUGH
RIVERVIEW HIGH SCHOOL,HILLSBOROUGH,RIVERVIEW HIGH SCHOOL,HILLSBOROUGH
RIVERVIEW HIGH SCHOOL,SARASOTA,RIVERVIEW HIGH SCHOOL,SARASOTA
RIVERVIEW HIGHSCHOOL,UNKNOWN,RIVERVIEW HIGH SCHOOL,SARASOTA
RIVERVIEW LEARNING CENTER,VOLUSIA,RIVERVIEW LEARNING CENTER,VOLUSIA
RIVIERA BEACH PREPARATORY & ACHIEVEMENT ACADEMY,PALM BEACH,RIVIERA BEACH PREPARATORY & ACHIEVEMENT ACADEMY,PALM BEACH
RIVIERA ELEMENTARY SCHOOL,BREVARD,RIVIERA ELEMENTARY SCHOOL,BREVARD
RIVIERA MIDDLE SCHOOL,MIAMI-DADE,RIVIERA MIDDLE SCHOOL,MIAMI-DADE
RIVIERA PREPARATORY SCHOOL,MIAMI-DADE,RIVIERA PREPARATORY SCHOOL,MIAMI-DADE
RIVIERA PREPARATORY SCHOOL,UNKNOWN,RIVIERA PREPARATORY SCHOOL,MIAMI-DADE
RIVIERA SCHOOLS,MIAMI-DADE,RIVIERA SCHOOLS,MIAMI-DADE
RN PROPERTY MAINTENANCE,UNKNOWN,,
ROBERT C. MARKHAM ELEMENTARY,BROWARD,ROBERT C. MARKHAM ELEMENTARY SCHOOL,BROWARD
ROBERT E. LEE HIGH SCHOOL,DUVAL,ROBERT E. LEE HIGH SCHOOL,DUVAL
ROBERT F MUNROE DAY SCHOOL INC,GADSDEN,ROBERT F MUNROE DAY SCHOOL INC,GADSDEN
ROBERT H. JENKINS JUNIOR MIDDLE,PUTNAM,ROBERT H. JENKINS JUNIOR MIDDLE,PUTNAM
"ROBERT H. JENKINS, JUNIOR MIDDLE",PUTNAM,ROBERT H. JENKINS JUNIOR MIDDLE,PUTNAM
ROBERT H. PRINE ELEMENTARY SCHOOL,MANATEE,ROBERT H. PRINE ELEMENTARY SCHOOL,MANATEE
ROBERT L. STEVENSON ELEMENTARY SCHOOL,BREVARD,ROBERT L. STEVENSON ELEMENTARY SCHOOL,BREVARD
ROBERT M. PATERSON ELEMENTARY,CLAY,ROBERT M. PATERSON ELEMENTARY SCHOOL,CLAY
ROBERT MORGAN EDUCATIONAL CENTER,MIAMI-DADE,ROBERT MORGAN EDUCATIONAL CENTER AND TECHNICAL COLLEGE,MIAMI-DADE
ROBERT MORGAN EDUCATIONAL CENTER AND TECHNICAL C,MIAMI-DADE,ROBERT MORGAN EDUCATIONAL CENTER AND TECHNICAL COLLEGE,MIAMI-DADE
ROBERT MORGAN EDUCATIONAL CENTER AND TECHNICAL CO,MIAMI-DADE,ROBERT MORGAN EDUCATIONAL CENTER AND TECHNICAL COLLEGE,MIAMI-DADE
ROBERT RENICK EDUCATION CENTER,MIAMI-DADE,ROBERT RENICK EDUCATION CENTER,MIAMI-DADE
ROBERT RUSSA MOTON ELEMENTARY SCHOOL,MIAMI-DADE,ROBERT RUSSA MOTON ELEMENTARY SCHOOL,MIAMI-DADE
ROBERT WILLIS ELEMENTARY SCHOOL,MANATEE,ROBERT WILLIS ELEMENTARY SCHOOL,MANATEE
ROBERTO CLEMENTE MIDDLE SCHOOL,ORANGE,ROBERTO CLEMENTE MIDDLE SCHOOL,ORANGE
ROBERTS ELEMENTARY SCHOOL,LEON,ROBERTS ELEMENTARY SCHOOL,LEON
ROBINSON ELEMENTARY SCHOOL,HILLSBOROUGH,ROBINSON ELEMENTARY SCHOOL,HILLSBOROUGH
ROBINSON HIGH SCHOOL,HILLSBOROUGH,ROBINSON HIGH SCHOOL,HILLSBOROUGH
