County,School Name,School Address,City,School Grades,num_cases,affecting_who,date
Oakland,Ferndale High School,881 Pinecrest Dr,Ferndale,High school,2,Students,2021-03-15
Macomb,Fitzgerald High School,23200 Ryan Rd,Warren,High school,2,Staff,2020-11-23
Wayne,Fordson High School,13800 Ford Rd,Dearborn,High school,2,Students,2021-03-15
Kent,Forest Hills Central,5901 Hall St SE,Grand Rapids,High school,24,Both,2021-02-15
Kent,Forest Hills Central High School,5901 Hall St SE,Grand Rapids,High school,4,Students,2020-10-26
Kent,Forest Hills Eastern,2200 Pettis Ave NE,Ada,High school,14,Students,2021-03-29
Kent,Forest Hills Northern,3801 Leonard St NE,Grand Rapids,High school,15,Both,2021-03-29
Kent,Forest Hills Northern High School,3801 Leonard St NE,Grand Rapids,High school,6,Both,2020-10-26
Wexford,Forest View Elementary School,7840 S 25 Rd,Boon,Pre-school - elementary,2,Students,2021-03-29
Macomb,Fountain Elementary,16850 WELLINGTON,Roseville,Pre-school - elementary,2,Staff,2020-11-30
Clinton,Fowler High School Administration,700 S Main St,Fowler,High school,2,Staff,2020-10-26
Macomb,Fox Elementary,17500 Millstone Dr,Macomb,Pre-school - elementary,2,Both,2020-11-09
Saginaw,Frankenmuth High School,525 E. Genesee,Frankenmuth,High school,3,Staff,2020-11-09
Benzie,Frankfort Elberta Area Schools,613 Leelanau Ave,Frankfort,High school,2,Students,2020-11-02
Benzie,Frankfort High School,11th St,Frankfort,High school,11,Students,2021-04-05
Wexford,Franklin Elementary School,505 Lester St.,Cadillac,Pre-school - elementary,2,Both,2020-12-07
Wexford,Franklin Elementary School,505 Lester St.,Cadillac,Pre-school - elementary,3,Both,2021-03-29
Macomb,Fraser High School,34270 Garfield Rd,Fraser,High school,2,Staff,2020-11-09
Macomb,Fraser High School,34270 Garfield Rd,Fraser,High school,7,Students,2021-03-08
Newaygo,Fremont Christian School,208 Hillcrest Dr.,Fremont,Administrative,2,Staff,2021-02-01
Barry,Fuller Elementary,251 Fuller St,Nashville,Pre-school - elementary,3,Both,2021-02-01
Barry,Fuller Street Elementary,251 Fuller St,Nashville,Pre-school - elementary,2,Both,2020-11-30
Wayne,Gabriel Richard Catholic High School,15325 Pennsylvania Rd,Riverview,High school,2,Students,2020-11-09
Kalamazoo,Galesburg Augusta Primary School,315 W Battle Creek St,Galesburg,Pre-school - elementary,5,Both,2020-10-05
Eaton,Galewood Elementary,512 E Lovett,Charlotte,Pre-school - elementary,2,Students,2021-02-01
Otsego,Gaylord High School,90 Livingston,Gaylord,High School,6,Students,2021-03-15
Otsego,Gaylord High School - Wrestling Team,90 Livingston Blvd,Gaylord,High school,4,Students,2021-03-22
Otsego,Gaylord High School Hockey Team,90 Livingston,Gaylord,High school,10,Both,2021-03-08
Otsego,Gaylord Intermediate School,240 E 4th St,Gaylord,Junior high/middle school,4,Both,2020-11-16
Otsego,Gaylord Intermediate Schools,240 E 4th St,Gaylord,Junior high/middle school,2,Students,2021-03-15
Otsego,Gaylord Middle School,600 E 5th st,Gaylord,Junior high/middle school,4,Students,2021-03-22
Jackson,George Long Elementary,829 S. Union St,Grass Lake,Pre-school - elementary,2,Students,2021-02-01
Marquette,Gilbert Elementary,250 W Iron,Gwinn,Pre-school - elementary,2,Both,2020-11-16
Livingston,Gilden Woods Early Care and Preschool,3811 Grand Oaks Drive,Howell,Pre-school - elementary,3,Both,2020-12-21
Branch,Girard Head Start (Branch ISD),1001 School Drive,Coldwater,Pre-school - elementary,2,Staff,2020-11-16
Delta,Gladstone High School,2100 M-35 Highway,Gladstone,High school,2,Staff,2020-10-12
Gladwin,Gladwin High School,1400 N. Spring Street,Gladwin,High school,4,Students,2020-11-23
Gladwin,Gladwin High School,1400 N. Spring Street,Gladwin,High school,2,Students,2021-03-22
Gladwin,Gladwin Jr/Sr High,401 N. Bowery Street,Gladwin,Junior high/middle school,2,Staff,2021-02-15
Macomb,Glen H Peters School,46650 Heydenreich Road,Macomb,Pre-school - elementary,2,Staff,2020-12-21
Macomb,Glen H Peters School,46650 Heydenreich Road,Macomb,Pre-school - elementary,2,Both,2021-03-29
Leelanau,Glen Lake Community Schools,3375 W. Budickville Rd,Maple City,High school,2,Students,2020-11-16
Leelanau,Glen Lake Community Schools,3375 W. Burdickville Rd,Maple City,High school,3,Students,2021-01-25
Leelanau,Glen Lake Community Schools,3375 W. Burdickville Rd,Maple City,High school,4,Students,2021-03-29
Leelanau,Glen Lake Community Schools,3375 W. Burdickville Rd,Maple City,High school,8,Students,2021-03-29
Kent,Godfrey Elementary School,1920 Godfrey Ave SW,Wyoming,Pre-school - elementary,3,Both,2020-11-16
Genesee,Grand Blanc Building and Grounds,2 Jewett Trail,Grand Blanc,High school,4,Staff,2020-10-05
Genesee,Grand Blanc High School,12500 Holly Road,Grand Blanc,High school,2,Staff,2020-09-21
Genesee,Grand Blanc High School,12500 Holly Road,Grand Blanc,High school,3,Students,2020-12-07
Genesee,Grand Blanc High School West Campus,1 Jewett Trail,Grand Blanc,High school,3,Both,2020-10-05
Ottawa,Grand Haven High School,17001 Ferris St,Grand Haven,High school,3,Students,2020-11-09
Ottawa,Grand Haven High School,17001 Ferris St,Grand Haven,High school,2,Students,2021-02-08
Eaton,Grand Ledge High School,,Grand Ledge,High school,12,Both,2021-03-01
Eaton,Grand Ledge Middle School,12620 Nixon Rd,Grand Ledge,Junior high/middle school,4,Both,2020-11-02
Eaton,Grand Ledge Public Schools Bus Garage,12730 Nixon Rd,Grand Ledge,Administrative,2,Staff,2020-11-16
Kent,Grand Rapids Christian High School,2300 Plymouth Ave SE,Grand Rapids,High school,9,Both,2020-11-16
Kent,Grandville Central Elementary,4052 Prairie St SW,Grandville,Pre-school - elementary,4,Students,2020-11-23
Newaygo,Grant Middle School,96 E 120th St,Grant,Junior high/middle school,2,Both,2021-04-05
Newaygo,Grant Public Schools,148 S. Elder,Grant,Junior high/middle school,8,Both,2020-10-05
Gratiot,Gratiot-Isabella RESD,1131 E Center St.,Ithaca,Administrative,5,Staff,2020-11-23
Marquette,Graveraet,611 N Front Street,Marquette,Pre-school - elementary,2,Students,2020-11-02
Eaton,Greyhound Intermediate,805 Greyhound Dr,Eaton Rapids,Pre-school - elementary,2,Both,2021-02-01
Ottawa,Griffin Elementary,1700 S Griffin St,Grand Haven,Pre-school - elementary,2,Both,2020-12-07
Wayne,Grosse Ile High School,7800 Grays Dr,Grosse Ile Township,High school,2,Students,2021-03-01
Wayne,Grosse Pointe South High School,11 Grosse Pointe Blvd,Grosse Pointe Farms,High school,5,Students,2021-03-15
Marquette,Gwinn Middle High School,50 W M-35,Gwinn,Junior high/middle school,2,Students,2020-11-16
Bay,Handy Middle School,601 Blend St,Bay City,Junior high/middle school,17,Both,2021-03-15
Huron,Harbor Beach Community Schools,402 S fifth st,Harbor Beach,High school,4,Both,2020-11-09
Huron,Harbor Beach Community Schools,402 S 5th St,Harbor Beach,Junior high/middle school,6,Both,2021-01-25
Huron,Harbor Beach High School,402 S Fifth Street,Harbor Beach,High school,2,Both,2020-11-02
Huron,Harbor Beach Preschool,402 S. 5th St,Harbor Beach,Pre-school - elementary,2,Both,2021-03-15
Huron,Harbor Beach Schools,402 S. 5th St,Harbor Beach,High school,7,Both,2021-03-15
Ottawa,Harbor Lights Middle School,1024 136TH Ave,Holland,Junior high/middle school,2,Both,2020-10-12
Ottawa,Harbor Lights Middle School,1024 136th Ave,Holland,Junior high/middle school,2,Students,2021-04-05
Emmet,Harbor Springs High School,500 N Spring St,Harbor Springs,High school,3,Students,2020-11-09
Calhoun,Harper Creek High School,12677 Beadle Lake Rd,Battle Creek,High school,4,Students,2021-03-22
Calhoun,Harper Creek High School Food Service,12677 Beadle Lake Rd,Battle Creek,Administrative,2,Staff,2021-03-22
Calhoun,Harperk Creek Middle School,7290 B Dr N,Battle Creek,Junior high/middle school,2,Students,2021-03-29
Calhoun,Harperk Creek Middle School,7291 B Dr N,Battle Creek,Junior high/middle school,7,Both,2021-03-29
Calhoun,Harrington Elementary,100 S Clark St,Albion,Pre-school - elementary,2,Staff,2021-02-01
Clare,Harrison Middle School,710 S. Fifth Street,Harrison,Junior high/middle school,5,Both,2020-10-26
Oakland,Hart Middle School,1361 Walton Blvd,Rochester Hills,Junior high/middle school,2,Students,2021-03-22
Van Buren,Hartford,Redwood,Hartford,Pre-school - elementary,2,Staff,2020-10-26
Van Buren,Hartford,121 School St.,Hartford,High school,3,Students,2021-03-22
Livingston,Hartland High School,10635 Dunham Road,Hartland,High school,5,Students,2021-04-05
Oakland,Harvey Swanson Elementary,209 Varsity Dr,Ortonville,Pre-school - elementary,2,Staff,2021-03-22
Barry,Hastings High School,,,High school,10,Students,2021-01-18
Eaton,Hayes Middle School,,Grand Ledge,Junior high/middle school,2,Both,2021-03-01
Macomb,Henry Ford II High School,11911 Clinton River Rd,Sterling Heights,High school,2,Both,2020-11-09
Macomb,Henry Ford II High School,11911 Clinton River Rd,Sterling Heights,High school,5,Students,2021-03-01
Kalamazoo,Heritage Christian Academy,6312 Quail Run Dr,Kalamazoo,High school,6,Both,2020-11-02
Ottawa,Heritage Christian School,6340 Autumn Dr,Hudsonville,Junior high/middle school,7,Both,2020-10-05
Saginaw,Heritage High School,3465 N. Center Road,Saginaw,High school,2,Students,2020-10-19
Macomb,Heritage Junior High,37400 DODGE PARK RD,Sterling Heights,Junior high/middle school,2,Staff,2020-11-30
Newaygo,Hesperia Public Schools,96 S Division St,Hesperia,High school,2,Students,2020-11-23
Macomb,Hevel Elementary,12700 29 Mile Rd,Washington,Pre-school - elementary,4,Students,2021-04-05
Tuscole,Highland Pines,1381 Cleaver Rd,Caro,High school,2,Both,2020-10-26
Hillsdale,Hillsdale High School,30 S. Norwood,Hillsdale,High school,6,Students,2021-03-01
Livingston,Hilton Elementary School,9600 Hilton Road,Brighton,Pre-school - elementary,2,Both,2020-12-07
Ottawa,Holland Christian High School,950 Ottawa Ave,Holland,High school,4,Students,2020-11-16
Ottawa,Holland Christian High School,950 Ottawa Ave,Holland,High school,5,Students,2021-03-29
Ottawa,Holland High School,600 Van Raalte Ave,Holland,High school,2,Students,2020-10-19
Ottawa,Holland High School,600 Van Raalte Ave,Holland,High school,2,Both,2021-01-11
Ottawa,Holland High School,600 Van Raalte Ave,Holland,High school,2,Students,2021-04-05
Oakland,Holly Academy,820 Academy Rd,Holly,Pre-school - elementary,9,Both,2020-12-14
Oakland,Holly Academy,820 Academy Rd,Holly,Administrative,2,Staff,2021-03-29
Oakland,Holly Academy,820 Academy Rd,Holly,Pre-school - elementary,3,Both,2021-04-05
Oakland,Holly Academy,820 Academy Rd,Holly,Pre-school - elementary,2,Both,2021-04-05
Oakland,Holly High School,6161 E Holly Rd,Holly,High school,3,Students,2021-02-22
Ottawa,Holmes Elementary School,426 River St,Spring Lake,Pre-school - elementary,3,Students,2020-11-23
Wayne,Holmes Middle School,16200 Newburgh Rd,Livonia,Junior high/middle school,2,Students,2021-03-29
Oakland,Holy Family Regional School,1240 Inglewood Ave,Rochester,Junior High/Middle School,2,Students,2020-12-14
Oakland,Holy Family Regional School,1240 Inglewood Ave,Rochester,Pre-school - elementary,2,Both,2020-12-21
Delta,Holy Name Catholic School,409 S 22nd St,Escanaba,Pre-school - elementary,3,Students,2020-09-28
Wayne,Holy Redemer Grade School,1711 Junction Ave.,Detroit,Pre-school - elementary,11,Both,2020-10-05
Detroit City,Hope of Detroit Academy Elementary,"4443 N Campbell St, Detroit, MI 48210",Detroit,Administrative,4,Staff,2020-12-07
Jackson,Horton Hanover Elem School,131 Fairview St.,Hanover,Junior high/middle school,3,Students,2021-03-22
Houghton,Houghton High School,1603 Gundlach Road,Houghton,High school,2,Students,2020-10-26
Roscommon,Houghton Lake Community Schools,4433 W. Houghton Lake Dr.,Houghton Lake,Junior high/middle school,7,Students,2021-03-08
Livingston,Howell High School,1200 W Grand River Ave,Howell,High school,2,Students,2020-10-19
Livingston,Howell High School,1200 W Grand River Avenue,Howell,High school,2,Students,2020-12-07
Livingston,Howell High School,1200 W Grand River Avenue,Howell,High school,2,Students,2021-02-01
Lenawee,Hudson Elementary,746 N Maple Grove Ave,Hudson,Pre-school - elementary,3,Staff,2020-11-23
Ottawa,Hudsonville High School,5051 32nd Ave,Hudsonville,High school,3,Students,2020-10-12
Ottawa,Hudsonville High School,5037 32nd Ave,Hudsonville,High school,2,Students,2021-01-25
Oakland,Hugger Elementary,5050 Sheldon Rd,Rochester,Pre-school - elementary,2,Students,2021-03-22
Macomb,Huron Academy Upper Elementary,36301 Utica Road,Clinton Township,Junior high/middle school,3,Both,2020-12-28
Huron,Huron Area Tech Center,1160 S Van Dyke Rd,Bad Axe,High school,4,Both,2021-02-01
Livingston,Hutchings Elementary School,3503 Bigelow Road,Howell,Pre-school - elementary,2,Both,2020-11-30
Genesee,Hyatt Elementary,325 Stan Eaton Drive,Linden,Pre-school - elementary,2,Staff,2020-10-26
Livingston,IXL Hamburg,10088 Professional Centre Drive,Hamburg,Pre-school - elementary,2,Both,2021-04-05
Monroe,Ida Elementary School,7900 Ida St.,Ida,Pre-school - elementary,4,Staff,2020-10-19
Lapeer,Imlay City High School,1001 Norlin Dr,Imlay City,High school,4,Both,2020-11-09
Macomb,Immanuel Lutheran,47120 Romeo Plank Rd,Macomb,Pre-school - elementary,2,Students,2020-11-23
Macomb,Immanuel Lutheran,47120 Romeo Plank rd,Macomb,Junior high/middle school,3,Students,2021-03-15
Oakland,Independence Elementary (Clarkston Schools),6850 Hubbard Rd,Village of Clarkston,Junior high/middle school,2,Both,2021-04-05
Macomb,Indian Hills Elementary,8401 29 Mile Rd,Washington,Pre-school - elementary,2,Staff,2020-09-28
Wayne,Inter-City Baptist High School,4700 Allen Rd,Allen Park,High school,4,Students,2021-03-08
Wayne,Inter-City Baptist School,4700 Allen Rd,Allen Park,Pre-school - elementary,6,Students,2020-12-28
Macomb,Iroquois Middle School,48301 Romeo Plank Rd,Macomb,Junior high/middle school,2,Students,2020-10-26
Marquette,Ishpeming Middle/High School,319 E. Division Street,Ishpeming,Junior high/middle school,3,Students,2020-11-30
Eaton,Island City Academy,6421 S Clinton Trail,Eaton Rapids,Pre-school - elementary,3,Both,2021-01-18
Monroe,Jackman Road Elementary School,8008 Jackman Rd,Temperance,Pre-school - elementary,5,Students,2021-02-08
Jackson,Jackson Area Career Center,600 Browns Lk. Rd.,Jackson,High school,2,Students,2021-03-15
Jackson,Jackson Christian Schools,4200 Lowe Rd,Jackson,High school,3,Staff,2020-10-19
Jackson,Jackson Prep,2111 Emmons Rd,Jackson,High school,2,Students,2021-03-29
Jackson,Jackson Prep,2111 Emmons Rd,Jackson,High school,2,Students,2021-04-05
Jackson,Jackson Public High School,522 Wildwood Ave.,Jackson,High school,2,both,2021-03-22
Detroit City,Jalen Rose Leadership Academy,15000 Trojan St,Detroit City,High school,2,Students,2021-02-15
Midland,Jefferson Middle School,800 W Chapel Lane,Midland,Junior high/middle school,4,Both,2020-10-19
Macomb,Jefferson Middle School,27900 Rockwood St,St. Clair Shores,Junior high/middle school,7,Both,2020-11-23
Macomb,Jefferson Middle School,27900 Rockwood St,St. Clair Shores,Junior high/middle school,2,Both,2021-02-22
Midland,Jefferson Middle School,800 W. Chapel Lane,Midland,Junior high/middle school,4,Both,2021-03-22
Ottawa,Jenison Christian School,7726 Graceland Dr,Jenison,Junior high/middle school,2,Students,2021-02-15
Ottawa,Jenison High School,2140 Bauer Rd,Jenison,High school,3,Students,2020-10-12
Ottawa,Jenison High School,2140 Bauer Rd,Jenison,High school,3,Students,2021-01-25
Ottawa,Jenison High School,2140 Bauer Rd,Jenison,High school,2,Students,2021-03-08
Ottawa,Jenison Junior High School,8295 20th Ave,Georgetown,Junior high/middle school,2,Students,2021-02-22
St. Joseph,Jerolene School,303 E Jerolene,Sturgis,Pre-school - elementary,4,Staff,2020-11-09
Washtenaw,Jewish Community Center,2935 Birch Hollow Dr,Ann Arbor,Pre-school - elementary,6,Both,2020-11-16
Otsego,Johannesburg-Lewiston Elementary,10854 M 32 E,Johannesburg,Pre-school - elementary,9,Both,2020-11-16
Bay,John Glen High School,3201 Kiesel Rd,Bay City,High school,2,Both,2021-03-08
Wayne,John Glenn High School,36105 Marquette St,Westland,High school,3,Students,2021-03-08
Bay,John Glenn High School,3201 Kiesel Rd,Bay City,High school,2,Both,2021-03-15
Oakland,John Page Middle School,29615 Tawas St,Madison Heights,Junior high/middle school,2,students,2021-04-05
Hillsdale,Jonesville High School,460 Adrian St.,Jonesville,High school,3,Students,2021-03-22
Genesee,Kearsley High School,4302 Underhill Drive,Flint,High school,3,Staff,2020-12-14
Jackson,Keicher Elementary,137 Broad Street,Michigan Center,Pre-school - elementary,2,Staff,2020-09-15
Macomb,Keith Bovenschen School,12345 Frazho Rd,Warren,High school,2,Both,2021-03-29
Manistee,Kennedy Elementary School,550 Maple St,Manistee,Pre-school - elementary,2,Both,2020-11-02
Macomb,Kennedy Middle School,23101 Masonic,St Clair Shores,Junior high/middle school,2,Students,2020-11-16
Macomb,Kennedy Middle School,23101 Masonic,St. Clair Shores,Junior high/middle school,3,Students,2021-03-15
Kent,Kenowa Hills Central Elementary,4252 3 Mile Rd NW,Grand Rapids,Pre-school - elementary,4,Both,2020-10-19
Kent,Kenowa Hills High School,3825 Hendershot Ave NW,Grand Rapids,High school,6,Students,2020-11-09
Kent,Kent City Elementary,29 College St,Kent City,Pre-school - elementary,3,Both,2020-09-28
Kent,Kent City High School,351 N Main St,Kent City,High school,4,Both,2020-11-23
Jackson,Kidder Middle School,6700 Rives Junction Rd,Jackson,Junior high/middle school,3,Both,2021-02-22
Grand Traverse,Kingsley High School Football Team,7475 Kingsley Rd,Kingsley,High school,6,Both,2020-11-23
Tuscola,Kingston High School,5790 Sanilac Rd,Kingston,High school,7,Both,2021-03-29
Bay,Kolb Elementary School,305 W. Crump St.,Bay City,Pre-school - elementary,3,Both,2021-04-05
Macomb,L'Anse Creuse High School North,23700 21 Mile Road,Macomb,High school,2,Students,2021-03-01
Macomb,L'Anse Creuse High School North,23700 21 Mile Road,Macomb,High school,3,Students,2021-04-05
Macomb,L'Anse Creuse Middle School Central,38000 Reimold St,Harrison Twp,Junior high/middle school,2,Students,2021-03-29
Macomb,L'Anse Creuse Middle School East,30300 Hickey Rd,New Baltimore,Junior high/middle school,2,Students,2021-04-05
Macomb,L'Anse Creuse Middle School North,46201 Fairchild Rd,Macomb,Junior high/middle school,4,Students,2021-03-29
Macomb,L'Anse Creuse Middle School South,34641 Jefferson Ave,Harrison Twp,Junior high/middle school,3,Students,2021-03-22
Lenawee,LISD Porter Center,2946 Sutton Rd,Adrian,High school,3,Both,2021-02-01
Lenawee,LISD Tech,1372 N. Main St,Adrian,High school,5,Both,2020-11-30
Shiawassee,Laingsburg HS,8008 Woodbury Rd.,Laingsburg,High school,2,Students,2020-10-26
Genesee,LakeVille Memorial High School,12455 Wilson Road,Otisville,High school,8,Both,2021-03-01
Antrim,Lakeland Elementary School,616 Buckley St,Elk Rapids,Pre-school - elementary,3,Students,2021-02-22
Huron,Lakers High School,6136 Pigeon Rd.,Pigeon,High school,3,Students,2021-03-08
Berrien,Lakeshore High School,5771 Cleveland Ave,Stevensville,High school,2,Students,2020-09-28
Macomb,Lakeshore High School,22980 13 Mile Rd,St. Clair Shores,High school,4,Both,2020-11-02
Berrien,Lakeshore High School,5771 Cleveland Ave,Stevensville,High school,2,Students,2020-12-14
Macomb,Lakeshore High School,22980 13 Mile Rd,St. Clair Shores,High school,2,Students,2021-03-08
Ottawa,Lakeshore Middle School,900 Cutler St,Grand Haven,Junior high/middle school,3,Students,2020-10-26
Berrien,Lakeshore Middle School,1459 W John Beers Road,Stevensville,Junior high/middle school,2,Students,2021-03-15
Montcalm,Lakeview Comm Schools,9800 Youngman Rd,Lakeview,High school,2,Students,2020-11-16
Marquette,Lakeview Elementary,101 S. Pioneer Ave.,Negaunee,Pre-school - elementary,2,Both,2020-10-05
Mason,Lakeview Elementary,502 W Haight St,Ludington,Pre-school - elementary,2,Students,2021-01-25
Macomb,Lakeview High School,21100 E 11 Mile Rd,St Clair Shores,High school,2,Students,2020-10-26
Macomb,Lakeview High School,21100 E 11 Mile Rd,St. Clair Shores,High school,2,Students,2021-04-05
Oakland,Lamphere High School,610 W 13 Mile Rd,Madison Heights,High school,2,Students,2021-02-22
Oakland,Lamphere High School,610 W 13 Mile Rd,Madison Heights,High school,4,students,2021-03-22
St. Clair,Landmark Academy,4800 Lapeer Rd,Kimball,High school,4,Both,2020-11-30
Ingham,Lansing Catholic High School,501 Marshall St,Lansing,High school,2,Students,2020-11-16
Lapeer,Lapeer High School,933 S. Saginaw St,Lapeer,High school,6,Both,2020-10-26
Lapeer,Lapeer High School,933 S. Saginaw St,Lapeer,High school,16,Both,2021-02-08
Lapeer,Lapeer ISD Administration,,Lapeer,Administrative,3,Staff,2020-12-21
Lapeer,Lapeer ISD Ed Tech,690 N Lake Pleasan Rd,Attica,High school,10,Both,2020-12-21
Oakland,Larson Middle School,2222 E Long Lake Rd,Troy,Junior high/middle school,2,Students,2021-04-05
Van Buren,Lawton Public School,101 Blue Pride Drive,Lawton,Junior high/middle school,2,Staff,2020-10-12
Leelanau,Leelanau School,1 Old Homestead Rd,Glen Arbor,High school,4,Students,2020-09-28
Leelanau,Leland High School,200 N. Grand,Leland,High school,2,Students,2021-04-05
Lenawee,Lenawee Christian Schools,111 Wolf Creek Hwy,Adrian,High school,3,Students,2021-02-08
Lenawee,Lenawee Hockey League,111 Wolf Creek Hwy,Adrian,High school,3,Students,2021-02-08
Lenawee,Lenawee TECH Center,1372 N. Main St.,Adrian,High school,3,Both,2020-11-23
Mackinac,Les Cheneaux Community School,298 M-134,Cedarville,Junior high/middle school,3,Both,2020-11-30
Mackinac,Les Cheneaux Community School,298 M-134,Cedarville,Pre-school - elementary,3,Both,2021-01-25
Ottawa,Libertas Christian School,5181 64th Ave,Hudsonville,Junior high/middle school,2,Staff,2020-10-26
Ottawa,Lincoln Elementary,60 E Lincoln Ave,Zeeland,Pre-school - elementary,2,Both,2021-01-04
Chippewa,Lincoln Elementary,810 5th Ave E,Sault Ste. Marie,Pre-school - elementary,2,Students,2021-03-22
Wexford,Lincoln Elementary School,125 Ayer St.,Cadillac,Pre-school - elementary,3,Both,2021-03-29
Washtenaw,Lincoln Middle School,7425 Willis Rd,Ypsilanti,Junior high/middle school,3,Staff,2020-11-23
Saginaw,List Elementary,805 E. Genesee,Frankenmuth,Pre-school - elementary,5,Both,2020-10-05
Macomb,Little Turtle Early Childhood School,50375 Card Rd,Macomb,Pre-school - elementary,2,Students,2020-12-14
Macomb,Little Turtle Early Childhood School,50375 Card Rd,Macomb,Pre-school - elementary,2,Students,2020-12-21
Washtenaw,Livingston Classical Academy,8877 Main St,Whitmore Lake,Pre-school - elementary,2,Students,2020-11-09
Washtenaw,Livingston Classical Academy,8877 Main St,Whitmore lake,Pre-school - elementary,3,Both,2021-03-22
Eaton,Lockwood Elementary,,Eaton Rapids,Pre-school - elementary,5,Both,2021-04-05
Kent,Lowell High School,"11700 Vergennes St SE,",Lowell,High school,6,Both,2020-11-02
Kent,Lowell Middle School,750 Foreman St SE,Lowell,Junior high/middle school,2,Staff,2020-10-12
Detroit City,Loyola High School,15325 Pinehurst,Detroit City,High school,3,Students,2021-03-22
Gratiot,Luce Road Elementary - Alma Public Schools,6265 N Luce Rd,Alma,Pre-school - elementary,6,Both,2020-09-15
Jackson,Lumen Christi High,3483 Spring Arbor Rd.,Jackson,High school,12,Students,2021-03-08
Oakland,Lutheran High NW,1000 Bagley Ave,Rochester Hills,High school,7,Students,2021-03-08
Oakland,Lutheran High NW,1000 Bagley Ave,Rochester Hills,High school,2,Both,2021-03-08
Oakland,Lutheran High NW,1000 Bagley Ave,Rochester Hills,High school,2,Students,2021-03-15
Oakland,Lutheran High NW,1000 Bagley Ave,Rochester Hills,High school,17,Both,2021-03-15
Macomb,Lutheran High School North,16825 24 Mile Rd,Macomb,High school,2,Students,2021-04-05
Wayne,Lutheran Westland High School,33300 Cowan Rd,Westland,High school,4,Students,2020-10-05
Wayne,Lutheran Westland High School,33300 Cowan Rd,Westland,High school,6,Both,2021-02-22
Jackson,Lyle Torrent,1175 W Parnell Rd.,Jackson,High school,3,Students,2021-03-22
Ottawa,Macatawa Bay Middle School,3700 140th Ave,Holland,Junior high/middle school,2,Students,2021-04-05
Bay,Mackensen Elementary,5535 Dennis Dr,Bay City,Pre-school - elementary,2,Both,2020-11-23
Macomb,Macomb Intermediate School District,44001 Garfield,Clinton Township,Pre-school - elementary,2,Staff,2020-09-28
Lenawee,Madison Schools,3498 Treat Hwy,Madison,Junior high/middle school,2,Students,2020-11-30
Antrim,Mancelona High School,9300 W Limits Rd,Mancelona,High school,3,Students,2021-01-25
Antrim,Mancelona High School,9300 W Limits Rd,Mancelona,High school,2,Students,2021-04-05
Washtenaw,Manchester Schools Central Office,710 E. Main St,Manchester,Junior high/middle school,3,Staff,2020-10-19
Manistee,Manistee Catholic Central,1200 US-31,Manistee,Junior high/middle school,2,Students,2020-11-30
Manistee,Manistee High School,525 12th St,Mansitee,High school,2,Students,2020-11-30
Wexford,Manton High School,105 5th St.,Manton,High school,7,Both,2021-03-29
Macomb,Maple Lane Elementary,34600 Dryden Dr,Sterling Heights,Pre-school - elementary,4,Both,2021-04-05
St. Clair,Marine City High School,1085 Ward St,Marine City,High school,9,Both,2021-03-15
Sanilac,Marlette Comm Schools,6320 Eucclid St,Marlette,Administrative,2,Staff,2020-12-28
Sanilac,Marlette Community Schools,6230 Euclid St,Marlette,High school,2,Both,2020-11-30
Sanilac,Marlette Schools,6230 Euclid St,Marlette,High school,4,Students,2021-01-18
Sanilac,Marlette Schools,6230 Euclid St,Marlette,High school,3,Both,2021-03-29
Marquette,Marquette Alternative High School,1175 Erie Street,Marquette,High school,2,Students,2020-11-23
Marquette,Marquette Senior High School,1203 W Fair Ave,Marquette,High school,4,Students,2020-11-16
Marquette,Marquette Senior High School,1203 W. Fair Ave,Marquette,High school,2,Students,2021-03-29
Berrien,Mars Elementary,1 Sylvester Ave,Berrien Springs,Pre-school - elementary,2,Both,2020-12-07
Berrien,Mars Elementary Schools,430 W Mars Street,Berrien Springs,Pre-school - elementary,2,Both,2020-11-30
Calhoun,Marshall High School,701 N Marshall Ave,Marshall,High school,4,Students,2021-03-29
Allegan,Martin High School,1556 Chalmers St,Martin,High school,6,Both,2020-10-26
St. Clair,Marysville High School,555 East Huron Blvd,Marsyville,High school,5,Both,2021-02-15
St. Clair,Marysville High School,555 E Huron Blvd,Marysville,High school,12,Both,2021-03-15
St. Clair,Marysville Middle School,400 Collard Dr,Marysville,Junior high/middle school,3,Students,2021-03-15
Wayne,Mason Elementary School,1640 Vernier Rd,Grosse Pointe Woods,Pre-school - elementary,3,Both,2021-02-22
Monroe,Mason Middle School,2260 Lakeside Rd,Erie,Junior high/middle school,2,Staff,2020-11-02
Ingham,Mason Middle School,1001 S Barnes St,Mason,Junior high/middleschool,4,Students,2021-03-22
Macomb,Masonic Heights Elementary School,22100 Masonic Blvd,St Clair Shores,Pre-school - elementary,2,Staff,2020-11-16
Alger,Mather Elementary School,411 Elm Street,Munising,Pre-school - elementary,3,Both,2020-11-09
Alger,Mather Elementary School,411 Elm Street,Munising,Pre-school - elementary,1,Students,2020-11-23
Kalamazoo,Mattawan High School,56487 Western St,Kalamazoo,High school,2,Students,2021-02-01
Van Buren,Mattawan Public School,56487 Western St,Mattawan,High school,4,Both,2020-10-26
Branch,Max Larsen Elementary School,25 Parkhurst Ave,Coldwater,Pre-school - elementary,2,Staff,2020-10-12
Macomb,May V. Peck Elementary,26201 Lorraine Ave,Center Line,Pre-school - elementary,2,Students,2021-03-29
