school,county
IDYLLWILDE ELEMENTARY SCHOOL,SEMINOLE
LONGWOOD ELEMENTARY SCHOOL,SEMINOLE
MILWEE MIDDLE SCHOOL,SEMINOLE
ISLAND PREP,ST. JOHNS
PALMER CATHOLIC ACADEMY,ST. JOHNS
PEDRO MENENDEZ HIGH SCHOOL,ST. JOHNS
SOUTHWOODS ELEMENTARY,ST. JOHNS
WARDS CREEK ELEMENTARY SCHOOL,ST. JOHNS
ALLAPATTAH FLATS K-8,ST. LUCIE
DAN MCCARTY MIDDLE SCHOOL,ST. LUCIE
NORTHPORT K-8 SCHOOL,ST. LUCIE
SAMUEL S. GAINES ACADEMY OF EMERGING TECHNOLOGIES,ST. LUCIE
WEST GATE K-8 SCHOOL,ST. LUCIE
SOUTH SUMTER MIDDLE SCHOOL,SUMTER
BRANFORD ELEMENTARY SCHOOL,SUWANNEE
RIVEROAK TECHNICAL COLLEGE,SUWANNEE
BLOOMINGDALE HIGH SCHOOL,UNKNOWN
BUS DRIVER,UNKNOWN
DADE CHRISTIAN SCHOOL,UNKNOWN
MORGAN WOODS ELEMENTARY SCHOOL,UNKNOWN
PALM BEACH - KATZ YESHIVA HIGH SCHOOL OF S. FLA,UNKNOWN
PASCO - SEVEN OAKS ELEMENTARY SCHOOL,UNKNOWN
RIVIERA PREPARATORY SCHOOL,UNKNOWN
THE LEARNING NEST,UNKNOWN
HOLLY HILL SCHOOL,VOLUSIA
MAINLAND HIGH SCHOOL,VOLUSIA
MONARCH ACADEMY,VOLUSIA
PRIDE ELEMENTARY SCHOOL,VOLUSIA
SAINT BARNABAS EPISCOPAL SCHOOL,VOLUSIA
SUNRISE ELEMENTARY SCHOOL,VOLUSIA
SWEETWATER ELEMENTARY SCHOOL,VOLUSIA
MEDART ELEMENTARY SCHOOL,WAKULLA
RIVERSINK ELEMENTARY SCHOOL,WAKULLA
EMERALD COAST MIDDLE SCHOOL,WALTON
WALTON HIGH SCHOOL,WALTON
FLORIDA INSTITUTE OF TECHNOLOGY,BREVARD
UNIVERSITY OF MIAMI- MILLER SCHOOL OF MEDICINE,MIAMI-DADE
JACKSONVILLE UNIVERSITY,DUVAL
KEISER UNIVERSITY - JACKSONVILLE CAMPUS,DUVAL
PAT THOMAS LAW ENFORCEMENT ACADEMY,GADSDEN
PASCO HERNANDO STATE COLLEGE - SPRING HILL CAMPUS,HERNANDO
HILLSBOROUGH COMMUNITY COLLEGE- SOUTHSHORE CAMPUS,HILLSBOROUGH
INDIAN RIVER STATE COLLEGE- MUELLER CAMPUS,INDIAN RIVER
NEW COLLEGE OF FLORIDA,MANATEE
COLLEGE OF CENTRAL FLORIDA,MARION
NORTHWEST FLORIDA STATE COLLEGE- FT. WALTON BEACH CAMPUS,OKALOOSA
UNIVERSITY OF CENTRAL FLORIDA- DOWNTOWN CAMPUS,ORANGE
VALENCIA COLLEGE- DOWNTOWN CAMPUS,ORANGE
FLORIDA CAREER COLLEGE,PALM BEACH
KEISER UNIVERSITY - WEST PALM BEACH CAMPUS,PALM BEACH
ST. PETERSBURG COLLEGE- TARPON SPRINGS CAMPUS,PINELLAS
POLK STATE COLLEGE,POLK
KEISER UNIVERSITY - SARASOTA CAMPUS,SARASOTA
MERIDIAN COLLEGE SARASOTA,SARASOTA
KEISER UNIVERSITY - LAKELAND CAMPUS,ST. LUCIE
ASBURY THEOLOGICAL SEMINARY SCHOOL,UNKNOWN
DORMAN HALL,UNKNOWN
FLORIDA MEMORIAL UNIVERSITY,UNKNOWN
FLORIDA MEMORIAL UNIVESITY,UNKNOWN
KEISER UNIVERSITY - DAYTONA BEACH CAMPUS,VOLUSIA
ABRAHAM LINCOLN MIDDLE SCHOOL,ALACHUA
BOULWARE SPRINGS CHARTER,ALACHUA
CHESTER SHELL ELEMENTARY SCHOOL,ALACHUA
LAKE FOREST ELEMENTARY SCHOOL,ALACHUA
SAINT FRANCIS CATHOLIC HIGH SCHOOL,ALACHUA
STEPHEN FOSTER ELEMENTARY SCHOOL,ALACHUA
THE EINSTEIN SCHOOL INC.,ALACHUA
WILES HEAD START,ALACHUA
PREK/KINDERGARTEN CENTER,BAKER
CALLAWAY ELEMENTARY SCHOOL,BAY
RUTHERFORD HIGH SCHOOL,BAY
SURFSIDE MIDDLE SCHOOL,BAY
ASCENSION CATHOLIC SCHOOL,BREVARD
ASTRONAUT HIGH SCHOOL,BREVARD
COVENANT CHRISTIAN SCHOOL,BREVARD
CROTON ELEMENTARY SCHOOL,BREVARD
INDIALANTIC ELEMENTARY SCHOOL,BREVARD
JOHN F. KENNEDY MIDDLE SCHOOL,BREVARD
JOHN F. TURNER SENIOR ELEMENTARY SCHOOL,BREVARD
JUPITER ELEMENTARY SCHOOL,BREVARD
LEWIS CARROLL ELEMENTARY SCHOOL,BREVARD
MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL,BREVARD
NO LIMITS ACADEMY INC.,BREVARD
PALM BAY ELEMENTARY SCHOOL,BREVARD
PORT MALABAR ELEMENTARY SCHOOL,BREVARD
ARCHBISHOP EDWARD A. MCCARTHY HIGH SCHOOL,BROWARD
BEN GAMLA CHARTER SCHOOL,BROWARD
CARDINAL GIBBONS HIGH SCHOOL,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE,BROWARD
CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,BROWARD
CHAPEL TRAIL ELEMENTARY SCHOOL,BROWARD
CHARLES W FLANAGAN HIGH SCHOOL,BROWARD
CHARTER SCHOOL OF EXCELLENCE AT DAVIE,BROWARD
COOPER CITY HIGH SCHOOL,BROWARD
CYPRESS ELEMENTARY SCHOOL,BROWARD
DAVIE ELEMENTARY SCHOOL,BROWARD
DEERFIELD BEACH ELEMENTARY SCHOOL,BROWARD
FOREST HILLS ELEMENTARY SCHOOL,BROWARD
GRIFFIN ELEMENTARY SCHOOL,BROWARD
HALLANDALE HIGH SCHOOL,BROWARD
HAWKES BLUFF ELEMENTARY SCHOOL,BROWARD
HEBREW ACADEMY COMMUNITY SCHOOL,BROWARD
HERON HEIGHTS ELEMENTARY SCHOOL,BROWARD
HOLLYWOOD ACADEMY OF ARTS & SCIENCE,BROWARD
LAUDERHILL PAUL TURNER ELEMENTARY SCHOOL,BROWARD
LIBERTY ELEMENTARY SCHOOL,BROWARD
MAIMONIDES SHALOM/BRAUSER ACADEMY,BROWARD
MANATEE BAY ELEMENTARY SCHOOL,BROWARD
MCNAB ELEMENTARY SCHOOL,BROWARD
MIRAMAR HIGH SCHOOL,BROWARD
NEW RIVER MIDDLE SCHOOL,BROWARD
NORTH LAUDERDALE PK-8,BROWARD
NORTH SIDE ELEMENTARY SCHOOL,BROWARD
NORTHEAST HIGH SCHOOL,BROWARD
NOVA DWIGHT D. EISENHOWER ELEM,BROWARD
OLSEN MIDDLE SCHOOL,BROWARD
ORIOLE ELEMENTARY SCHOOL,BROWARD
PARK RIDGE ELEMENTARY SCHOOL,BROWARD
PEMBROKE PINES CHARTER - WEST CAMPUS,BROWARD
PINE CREST SCHOOL,BROWARD
POTENTIAL CHRISTIAN ACADEMY,BROWARD
RAMBLEWOOD MIDDLE SCHOOL,BROWARD
RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,BROWARD
S.O.U.L. ACADEMY INC.,BROWARD
SAINT AMBROSE,BROWARD
SAINT BONAVENTURE CATHOLIC SCHOOL,BROWARD
SAINT DAVID CATHOLIC SCHOOL,BROWARD
SANDERS PARK ELEMENTARY SCHOOL,BROWARD
SEAGULL SCHOOL,BROWARD
SILVER LAKES ELEMENTARY SCHOOL,BROWARD
SILVER LAKES MIDDLE SCHOOL,BROWARD
SILVER TRAIL MIDDLE SCHOOL,BROWARD
SOMERSET ACADEMY DAVIE CHARTER SCHOOL,BROWARD
SOMERSET ACADEMY MIDDLE SCHOOL,BROWARD
SOMERSET ACADEMY MIRAMAR,BROWARD
SOMERSET NEIGHBORHOOD SCHOOL,BROWARD
SOUTH BROWARD HIGH SCHOOL,BROWARD
SOUTH FLORIDA MONTESSORI ACADEMY,BROWARD
SUNRISE MIDDLE SCHOOL,BROWARD
THE NORTH BROWARD PREPARATORY SCHOOLS,BROWARD
THURGOOD MARSHALL ELEMENTARY SCHOOL,BROWARD
TRADEWINDS ELEMENTARY SCHOOL,BROWARD
TRINITY CHRISTIAN SCHOOL,BROWARD
TROPICAL ELEMENTARY SCHOOL,BROWARD
WALTER C. YOUNG MIDDLE SCHOOL,BROWARD
WELLEBY ELEMENTARY SCHOOL,BROWARD
WESTERN HIGH SCHOOL,BROWARD
BLOUNTSTOWN ELEMENTARY SCHOOL,CALHOUN
L. A. AINGER MIDDLE SCHOOL,CHARLOTTE
LEMON BAY HIGH SCHOOL,CHARLOTTE
MEADOW PARK ELEMENTARY SCHOOL,CHARLOTTE
ACADEMY OF ENVIRONMENTAL SCIENCE,CITRUS
WITHLACOOCHEE TECHNICAL COLLEGE,CITRUS
FAITH CHRISTIAN ACADEMY INC,CLAY
LAKESIDE ELEMENTARY SCHOOL,CLAY
R. C. BANNERMAN LEARNING CENTER,CLAY
R.M. PATERSON,CLAY
RIDGEVIEW ELEMENTARY SCHOOL,CLAY
WILKINSON JUNIOR HIGH SCHOOL,CLAY
AVALON ELEMENTARY SCHOOL,COLLIER
BIG CYPRESS ELEMENTARY SCHOOL,COLLIER
BRIDGEPREP ACADEMY COLLIER,COLLIER
CORKSCREW MIDDLE SCHOOL,COLLIER
ESTATES ELEMENTARY SCHOOL,COLLIER
FIRST BAPTIST ACADEMY,COLLIER
GOLDEN GATE MIDDLE SCHOOL,COLLIER
GOLDEN TERRACE ELEMENTARY SCHOOL,COLLIER
LORENZO WALKER TECHNICAL COLLEGE,COLLIER
LORENZO WALKER TECHNICAL HIGH SCHOOL,COLLIER
MASON CLASSICAL ACADEMY,COLLIER
NAPLES PARK ELEMENTARY SCHOOL,COLLIER
ROYAL PALM ACADEMY,COLLIER
COLUMBIA DISTRICT OFFICE,COLUMBIA
ACADEMIR PREPARATORY ACADEMY,MIAMI-DADE
ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,MIAMI-DADE
ADA MERRITT K-8 CENTER,MIAMI-DADE
ALEXANDER SCHOOL INC.,MIAMI-DADE
ARCADIA ACADEMY,MIAMI-DADE
ARCHIMEDEAN ACADEMY,MIAMI-DADE
ARCOLA LAKE ELEMENTARY SCHOOL,MIAMI-DADE
ARVIDA MIDDLE SCHOOL,MIAMI-DADE
ATLANTIS ACADEMY,MIAMI-DADE
AVENTURA WATERWAYS K-8 CENTER,MIAMI-DADE
BELEN JESUIT PREPARATORY SCHOOL,MIAMI-DADE
BISCAYNE BEACH ELEMENTARY SCHOOL,MIAMI-DADE
BOWMAN ASHE/DOOLIN K-8 ACADEMY,MIAMI-DADE
BRIDGEPREP ACADEMY OF NORTH MIAMI BEACH,MIAMI-DADE
BRIDGEPREP ACADEMY OF VILLAGE GREEN,MIAMI-DADE
CARROLLTON SCHOOL OF THE SACRED HEART,MIAMI-DADE
CHANTY LEARNING CENTER DBA WE LOVE KIDS,MIAMI-DADE
CHARLES DAVID WYCHE JR ELEMENTARY SCHOOL,MIAMI-DADE
CHARLES R HADLEY ELEMENTARY SCHOOL,MIAMI-DADE
CHRISTINA M. EVE ELEMENTARY SCHOOL,MIAMI-DADE
COCONUT GROVE ELEMENTARY SCHOOL,MIAMI-DADE
CORAL PARK ELEMENTARY SCHOOL,MIAMI-DADE
CORAL REEF SENIOR HIGH SCHOOL,MIAMI-DADE
DADE CHRISTIAN SCHOOL,MIAMI-DADE
DIVINE SAVIOR SCHOOL,MIAMI-DADE
DORAL ACADEMY,MIAMI-DADE
DORAL ACADEMY CHARTER HIGH SCHOOL,MIAMI-DADE
DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL,MIAMI-DADE
E.W.F. STIRRUP ELEMENTARY SCHOOL,MIAMI-DADE
EDISON PRIVATE SCHOOL,MIAMI-DADE
ERNEST R. GRAHAM K-8 ACADEMY,MIAMI-DADE
ETHEL KOGER BECKHAM K-8 CENTER,MIAMI-DADE
EVERGLADES K-8 CENTER,MIAMI-DADE
FELIX VARELA SENIOR HIGH SCHOOL,MIAMI-DADE
FIRST UNITED METHODIST CHRISTIAN SCHOOL,MIAMI-DADE
FLAGAMI ELEMENTARY SCHOOL,MIAMI-DADE
G. HOLMES BRADDOCK SENIOR HIGH,MIAMI-DADE
GEORGIA JONES AYERS MIDDLE SCHOOL,MIAMI-DADE
GLORIA FLOYD ELEMENTARY SCHOOL,MIAMI-DADE
HENRY E.S. REEVES K-8 CENTER,MIAMI-DADE
HOWARD D. MCMILLAN MIDDLE SCHOOL,MIAMI-DADE
IMMACULATA-LA SALLE HIGH SCHOOL,MIAMI-DADE
JOHN A. FERGUSON SENIOR HIGH,MIAMI-DADE
KENDALE LAKES ELEMENTARY SCHOOL,MIAMI-DADE
LA PRIMA CASA MONTESSORI,MIAMI-DADE
LAKEVIEW ELEMENTARY SCHOOL,MIAMI-DADE
LINCOLN-MARTI COMMUNITY AGENCY 88,MIAMI-DADE
MANDARIN LAKES K-8 ACADEMY,MIAMI-DADE
MAST ACADEMY,MIAMI-DADE
MAYA ANGELOU ELEMENTARY SCHOOL,MIAMI-DADE
MEDICAL ACADEMY FOR SCIENCE AND TECHNOLOGY (M.A.S.T.) @ HOMESTEAD (HOMESTEAD,MIAMI-DADE
MIAMI ARTS STUDIO 6-12 AT ZELDA GLAZER,MIAMI-DADE
MIAMI LAKES K-8 CENTER,MIAMI-DADE
MIAMI SENIOR HIGH SCHOOL,MIAMI-DADE
MIAMI SPRINGS SENIOR HIGH SCHOOL,MIAMI-DADE
MOTHER OF OUR REDEEMER CATHOLIC SCHOOL,MIAMI-DADE
N DADE CENTER FOR MODERN LANGUAGE,MIAMI-DADE
NORTH DADE CENTER OF MODERN LANGUAGES,MIAMI-DADE
NORTH DADE MIDDLE SCHOOL,MIAMI-DADE
NORTH MIAMI BEACH SENIOR HIGH,MIAMI-DADE
PALM LAKES ELEMENTARY SCHOOL,MIAMI-DADE
PAUL W. BELL MIDDLE SCHOOL,MIAMI-DADE
PINECREST ACADEMY (SOUTH CAMPUS) (MIAMI,MIAMI-DADE
PINECREST COVE ACADEMY,MIAMI-DADE
POINCIANA PARK ELEMENTARY SCHOOL,MIAMI-DADE
RANSOM EVERGLADES,MIAMI-DADE
RANSOM EVERGLADES HIGH SCHOOL,MIAMI-DADE
ROHR MIDDLE SCHOOL,MIAMI-DADE
ROYAL GREEN ELEMENTARY SCHOOL,MIAMI-DADE
ROYAL PALM ELEMENTARY SCHOOL,MIAMI-DADE
RUTH K. BROAD BAY HARBOR K-8 CENTER,MIAMI-DADE
SAINT KEVIN CATHOLIC SCHOOL,MIAMI-DADE
SAINT TIMOTHY CATHOLIC PARISH SCHOOL,MIAMI-DADE
SAINTS PETER PAUL SCHOOL,MIAMI-DADE
SNOW WHITE THE SEVEN DWARFS SCHOOL,MIAMI-DADE
SOMERSET ACADEMY BAY,MIAMI-DADE
SOMERSET ACADEMY CHARTER,MIAMI-DADE
SOMERSET ACADEMY CHARTER MIDDLE SCHOOL SOUTH MIAMI CAMPUS,MIAMI-DADE
SOMERSET ACADEMY SILVER PALMS,MIAMI-DADE
SOMERSET OAKS ACADEMY,MIAMI-DADE
SOUTHSIDE ELEMENTARY SCHOOL,MIAMI-DADE
ST PHILIP'S EPISCOPAL SCHOOL,MIAMI-DADE
SUMMERVILLE ADVANTAGE ACADEMY,MIAMI-DADE
SUNFLOWERS ACADEMY,MIAMI-DADE
SUNSET PARK ELEMENTARY SCHOOL,MIAMI-DADE
SYLVANIA HEIGHTS ELEMENTARY SCHOOL,MIAMI-DADE
THE CARRIE BRAZER CENTER FOR AUTISM INC.,MIAMI-DADE
THE CHARTER SCHOOL AT WATERSTONE,MIAMI-DADE
W. R. THOMAS MIDDLE SCHOOL,MIAMI-DADE
WILLIAM H. LEHMAN ELEMENTARY SCHOOL,MIAMI-DADE
ZORA NEALE HURSTON ELEMENTARY SCHOOL,MIAMI-DADE
FAITH COMMUNITY CHRISTIAN ACADEMY,DESOTO
DIXIE COUNTY ADULT CENTER,DIXIE
DIXIE DISTRICT OFFICE,DIXIE
A CHILD'S PLACE MONTESSORI SCHOOL,DUVAL
ALDEN ROAD EXCEP. STUDENT CENTER,DUVAL
ALFRED I. DUPONT MIDDLE SCHOOL,DUVAL
BOLLES SCHOOL,DUVAL
CHAFFEE TRAIL ELEMENTARY,DUVAL
DINSMORE ELEMENTARY SCHOOL,DUVAL
DUVAL CHARTER SCHOLARS ACADEMY,DUVAL
DUVAL CHARTER SCHOOL AT COASTAL,DUVAL
GREENFIELD ELEMENTARY SCHOOL,DUVAL
HOGAN-SPRING GLEN ELEMENTARY SCHOOL,DUVAL
HOPE CHRISTIAN ACADEMY,DUVAL
J. ALLEN AXSON ELEMENTARY SCHOOL,DUVAL
J. E. B. STUART MIDDLE SCHOOL,DUVAL
JOHN E. FORD K-8 SCHOOL,DUVAL
JOHN STOCKTON ELEMENTARY SCHOOL,DUVAL
JULIA LANDON COLLEGE PREPARATORY & LEADERSHIP DEVELOPMENT SCHOOL,DUVAL
LAKE SHORE MIDDLE SCHOOL,DUVAL
LONE STAR ELEMENTARY SCHOOL,DUVAL
MAMIE AGNES JONES ELEMENTARY SCHOOL,DUVAL
MANDARIN OAKS ELEMENTARY SCHOOL,DUVAL
MARINE SCIENCE EDUCATION CENTER,DUVAL
MATTHEW W. GILBERT MIDDLE SCHOOL,DUVAL
MICHELE BLOCK GAN YELADIM AT THE JCA,DUVAL
NORMANDY VILLAGE ELEMENTARY SCHOOL,DUVAL
PAXON SCHOOL/ADVANCED STUDIES,DUVAL
RAMONA BOULEVARD ELEMENTARY SCHOOL,DUVAL
RIVER CITY SCIENCE ELEMENTARY ACADEMY,DUVAL
SABAL PALM ELEMENTARY SCHOOL,DUVAL
SADIE T. TILLIS ELEMENTARY SCHOOL,DUVAL
SAINT MATTHEWS CATHOLIC SCHOOL,DUVAL
SAINT PAUL'S CATHOLIC SCHOOL,DUVAL
STANTON COLLEGE PREPARATORY,DUVAL
TIMUCUAN ELEMENTARY SCHOOL,DUVAL
TWIN LAKES ACADEMY MIDDLE SCHOOL,DUVAL
UNIVERSITY CHRISTIAN SCHOOL,DUVAL
WEST RIVERSIDE ELEMENTARY SCHOOL,DUVAL
WHITEHOUSE ELEMENTARY SCHOOL,DUVAL
BELLVIEW MIDDLE SCHOOL,ESCAMBIA
CORDOVA PARK ELEMENTARY SCHOOL,ESCAMBIA
OAKCREST ELEMENTARY SCHOOL,ESCAMBIA
FLAGLER TECHNICAL COLLEGE,FLAGLER
INDIAN TRAILS MIDDLE SCHOOL,FLAGLER
APALACHICOLA BAY CHARTER SCHOOL,FRANKLIN
ROBERT F MUNROE DAY SCHOOL INC,GADSDEN
TRENTON ELEMENTARY SCHOOL,GILCHRIST
GULF DISTRICT OFFICE,GULF
PORT ST. JOE ELEMENTARY SCHOOL,GULF
PORT ST. JOE HIGH SCHOOL,GULF
NORTH WAUCHULA ELEMENTARY SCHOOL,HARDEE
CENTRAL ELEMENTARY SCHOOL,HENDRY
COUNTRY OAKS ELEMENTARY SCHOOL,HENDRY
EASTSIDE ELEMENTARY SCHOOL,HENDRY
EDWARD A. UPTHEGROVE ELEMENTARY,HENDRY
CENTRAL HIGH SCHOOL,HERNANDO
ENTIRETY K-12,HERNANDO
FRANK W. SPRINGSTEAD HIGH/ADUL,HERNANDO
HERNANDO CHRISTIAN ACADEMY,HERNANDO
WINDING WATERS K-8,HERNANDO
CORNERSTONE CHRISTIAN ACADEMY,HIGHLANDS
CRACKER TRAIL ELEMENTARY SCHOOL,HIGHLANDS
PARKVIEW PREP ACADEMY,HIGHLANDS
SUN 'N LAKE ELEMENTARY SCHOOL,HIGHLANDS
ACADEMY OF THE HOLY NAMES,HILLSBOROUGH
ALEXANDER ELEMENTARY SCHOOL,HILLSBOROUGH
AMERICAN YOUTH ACADEMY INC.,HILLSBOROUGH
ARMWOOD HIGH SCHOOL,HILLSBOROUGH
BELMONT ELEMENTARY SCHOOL,HILLSBOROUGH
BRIDGEPREP ACADEMY OF TAMPA,HILLSBOROUGH
BROOKER ELEMENTARY SCHOOL,HILLSBOROUGH
BRYANT ELEMENTARY SCHOOL,HILLSBOROUGH
BURNETT MIDDLE SCHOOL,HILLSBOROUGH
CHIARAMONTE ELEMENTARY SCHOOL,HILLSBOROUGH
CHRIST THE KING CATHOLIC SCHOOL,HILLSBOROUGH
CITRUS PARK ELEMENTARY SCHOOL,HILLSBOROUGH
CLAIR-MEL ELEMENTARY SCHOOL,HILLSBOROUGH
CLEVELAND ELEMENTARY SCHOOL,HILLSBOROUGH
COLSON ELEMENTARY SCHOOL,HILLSBOROUGH
DOWDELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH
FOCUS ACADEMY,HILLSBOROUGH
GRADY ELEMENTARY SCHOOL,HILLSBOROUGH
HILLEL SCHOOL OF TAMPA INC.,HILLSBOROUGH
HILLSBOROUGH HIGH SCHOOL,HILLSBOROUGH
INDEPENDENCE ACADEMY,HILLSBOROUGH
JAMES ELEMENTARY SCHOOL,HILLSBOROUGH
KIDS COMMUNITY COLLEGE RIVERVIEW SOUTH,HILLSBOROUGH
LAMB ELEMENTARY,HILLSBOROUGH
LAVOY EXCEPTIONAL CENTER,HILLSBOROUGH
MABRY ELEMENTARY SCHOOL,HILLSBOROUGH
MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH
MINTZ ELEMENTARY SCHOOL,HILLSBOROUGH
NATIVITY CATHOLIC SCHOOL,HILLSBOROUGH
PIVOT CHARTER SCHOOL,HILLSBOROUGH
POTTER ELEMENTARY SCHOOL,HILLSBOROUGH
SAINT JOSEPH PARISH SCHOOL,HILLSBOROUGH
SAINT MARYS EPISCOPAL DAY SCHOOL,HILLSBOROUGH
SHORE ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH
SIMMONS CAREER CENTER,HILLSBOROUGH
SLIGH MIDDLE SCHOOL,HILLSBOROUGH
SOUTHSHORE CHARTER ACADEMY,HILLSBOROUGH
SPORTS LEADERSHIP AND MANAGEMENT ACADEMY (TAMPA) (TAMPA,HILLSBOROUGH
SUMMERFIELD CROSSINGS ELEMENTARY SCHOOL,HILLSBOROUGH
TOWN & COUNTRY ELEMENTARY SCHOOL,HILLSBOROUGH
VICTORY CHARTER SCHOOL TAMPA,HILLSBOROUGH
WASHINGTON ELEMENTARY SCHOOL,HILLSBOROUGH
WATERSET CHARTER SCHOOL,HILLSBOROUGH
WEST TAMPA ELEMENTARY SCHOOL,HILLSBOROUGH
WESTCHASE ELEMENTARY SCHOOL,HILLSBOROUGH
WILLIS PETERS EXCEPTIONAL CENTER,HILLSBOROUGH
WOODBRIDGE ELEMENTARY SCHOOL,HILLSBOROUGH
YATES ELEMENTARY SCHOOL,HILLSBOROUGH
BETHLEHEM HIGH SCHOOL,HOLMES
PONCE DE LEON HIGH SCHOOL,HOLMES
BEACHLAND ELEMENTARY SCHOOL,INDIAN RIVER
SNEADS HIGH SCHOOL,JACKSON
AUCILLA CHRISTIAN ACADEMY INC.,JEFFERSON
FRANKLIN ACADEMY INC.,JEFFERSON
LAFAYETTE DISTRICT OFFICE,LAFAYETTE
ADVENTURE CHRISTIAN ACADEMY,LAKE
CLERMONT MIDDLE SCHOOL,LAKE
EAST RIDGE HIGH SCHOOL,LAKE
GRAY MIDDLE SCHOOL,LAKE
LAKE TECHNICAL COLLEGE,LAKE
LEESBURG HIGH SCHOOL,LAKE
MOUNT DORA CHRISTIAN ACADEMY,LAKE
MT. DORA HIGH SCHOOL,LAKE
SAWGRASS BAY ELEMENTARY SCHOOL,LAKE
SPRING CREEK CHARTER SCHOOL,LAKE
TAVARES ELEMENTARY SCHOOL,LAKE
TREADWAY ELEMENTARY SCHOOL,LAKE
UMATILLA ELEMENTARY SCHOOL,LAKE
UMATILLA HIGH SCHOOL,LAKE
BONITA SPRINGS HIGH SCHOOL,LEE
CAPE ACADEMY,LEE
COLONIAL ELEMENTARY SCHOOL,LEE
CYPRESS LAKE HIGH SCHOOL,LEE
DISCOVERY DAY ACADEMY,LEE
DUNBAR HIGH SCHOOL,LEE
EAST LEE COUNTY HIGH SCHOOL,LEE
GATEWAY CHARTER HIGH SCHOOL,LEE
GATEWAY HIGH SCHOOL,LEE
GOOD SHEPHERD LUTHERAN SCHOOL,LEE
ISLAND COAST HIGH SCHOOL,LEE
J. COLIN ENGLISH ELEMENTARY SCHOOL,LEE
LEXINGTON MIDDLE SCHOOL,LEE
MIRROR LAKES ELEMENTARY SCHOOL,LEE
NORTH NICHOLAS HIGH SCHOOL,LEE
OASIS CHARTER HIGH SCHOOL,LEE
PINE ISLAND ELEMENTARY SCHOOL,LEE
RAY V. POTTORF ELEMENTARY SCHOOL,LEE
RIVERDALE HIGH SCHOOL,LEE
ROYAL PALM EXCEPTIONAL SCHOOL CENTER,LEE
SUNSHINE ELEMENTARY SCHOOL,LEE
TRAFALGAR MIDDLE SCHOOL,LEE
BOND ELEMENTARY SCHOOL,LEON
BUCK LAKE ELEMENTARY SCHOOL,LEON
CHRIST CLASSICAL ACADEMY,LEON
COMMUNITY CHRISTIAN SCHOOL,LEON
GILCHRIST ELEMENTARY SCHOOL,LEON
HAWKS RISE ELEMENTARY SCHOOL,LEON
HOLY COMFORTER EPISCOPAL SCHOOL INC.,LEON
JAMES RICKARDS HIGH SCHOOL,LEON
R. FRANK NIMS MIDDLE SCHOOL,LEON
RAA MIDDLE SCHOOL,LEON
SEALEY ELEMENTARY SCHOOL,LEON
SWIFT CREEK MIDDLE SCHOOL,LEON
TALLAHASSEE SCHOOL OF MATH & SCIENCES,LEON
WILLISTON MIDDLE HIGH SCHOOL,LEVY
MADISON CREATIVE ARTS ACADEMY INC,MADISON
ELECTA LEE MAGNET MIDDLE SCHOOL,MANATEE
FLORINE J ABEL ELEMENTARY SCHOOL,MANATEE
JESSIE P. MILLER ELEMENTARY SCHOOL,MANATEE
PALMETTO CHARTER SCHOOL,MANATEE
BLESSED TRINITY,MARION
CROSSROADS ACADEMY,MARION
EMERALD SHORES ELEMENTARY SCHOOL,MARION
GRACE CHRISTIAN SCHOOL OF OCALA FL INC.,MARION
HARBOUR VIEW ELEMENTARY SCHOOL,MARION
HILLCREST,MARION
HOWARD MIDDLE SCHOOL,MARION
MONTESSORI PREPARATORY SCHOOL OF OCALA INC,MARION
NORTH MARION MIDDLE SCHOOL,MARION
OCALA SPRINGS ELEMENTARY SCHOOL,MARION
OSCEOLA MIDDLE SCHOOL,MARION
SADDLEWOOD ELEMENTARY SCHOOL,MARION
SHADY HILL ELEMENTARY SCHOOL,MARION
WARD-HIGHLANDS ELEMENTARY SCHOOL,MARION
APPLE TREE ACADEMY PALM CITY,MARTIN
CITRUS GROVE ELEMENTARY,MARTIN
SAINT JOSEPH CATHOLIC SCHOOL,MARTIN
TREASURE COAST CLASSICAL ACADEMY,MARTIN
CORAL SHORES HIGH SCHOOL,MONROE
HORACE O'BRYANT SCHOOL,MONROE
POINCIANA ELEMENTARY SCHOOL,MONROE
SIGSBEE CHARTER SCHOOL,MONROE
THE BASILICA SCHOOL OF SAINT MARY,MONROE
DESTIN ELEMENTARY SCHOOL,OKALOOSA
DESTIN MIDDLE SCHOOL,OKALOOSA
LULA J. EDGE ELEMENTARY SCHOOL,OKALOOSA
MARY ESTHER ELEMENTARY SCHOOL,OKALOOSA
MONTESSORI LEARNING CENTER OF FT. WALTON,OKALOOSA
OKALOOSA ACADEMY,OKALOOSA
SAINT MARY SCHOOL,OKALOOSA
SILVER SANDS SCHOOL,OKALOOSA
